,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,317,8,308,9,2,0,226,89,197074,160.85,45.16,1.01
02,02 - Saguenay–Lac-Saint-Jean,410,4,310,100,26,0,358,26,277632,147.68,9.36,9.36
03,03 - Capitale-Nationale,3709,120,3510,199,208,0,2685,816,755459,490.96,108.01,27.53
04,04 - Mauricie et Centre-du-Québec,2357,35,2175,182,211,0,2006,140,522341,451.24,26.80,40.40
05,05 - Estrie,1711,37,1521,190,31,0,1498,182,493163,346.94,36.90,6.29
06,06 - Montréal,32939,375,30264,2675,3478,0,27601,1860,2065657,1594.60,90.04,168.37
07,07 - Outaouais,1265,14,1137,128,34,0,1070,161,401032,315.44,40.15,8.48
08,08 - Abitibi-Témiscamingue,195,-1,163,32,4,0,187,4,147616,132.10,2.71,2.71
09,09 - Côte-Nord,150,-1,138,12,1,0,142,7,90033,166.61,7.77,1.11
10,10 - Nord-du-Québec,8,0,6,2,0,0,8,0,13558,59.01,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,321,18,306,15,11,0,219,91,89998,356.67,101.11,12.22
12,12 - Chaudière-Appalaches,1200,57,1025,175,18,2,864,318,430309,278.87,73.90,4.18
13,13 - Laval,6945,64,5915,1030,683,0,5983,279,442745,1568.62,63.02,154.26
14,14 - Lanaudière,5171,40,4481,690,223,0,4807,141,520092,994.25,27.11,42.88
15,15 - Laurentides,4666,42,4084,582,278,2,4162,226,626968,744.22,36.05,44.34
16,16 - Montérégie,10463,83,9624,839,617,0,9247,599,1432751,730.27,41.81,43.06
17,17 - Nunavik,19,0,17,2,0,0,18,1,14260,133.24,7.01,0.00
18,18 - Terres-Cries-de-la-Baie-James,13,0,13,0,0,0,11,2,18385,70.71,10.88,0.00
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,40,1,39,1,0,0,34,6,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,71901,896,65038,6863,5825,4,61128,4948,8539073,842.02,57.95,68.22
