,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,281,7,275,6,2,0,174,105,197074,142.59,53.28,1.01
02,02 - Saguenay–Lac-Saint-Jean,399,0,299,100,26,0,356,17,277632,143.72,6.12,9.36
03,03 - Capitale-Nationale,3248,95,3051,197,206,0,2402,640,755459,429.94,84.72,27.27
04,04 - Mauricie et Centre-du-Québec,2284,11,2106,178,211,0,1973,100,522341,437.26,19.14,40.40
05,05 - Estrie,1616,13,1431,185,30,0,1424,162,493163,327.68,32.85,6.08
06,06 - Montréal,31816,146,29165,2651,3477,1,27167,1172,2065657,1540.24,56.74,168.32
07,07 - Outaouais,1174,17,1070,104,34,0,988,152,401032,292.74,37.90,8.48
08,08 - Abitibi-Témiscamingue,191,0,159,32,4,0,186,1,147616,129.39,0.68,2.71
09,09 - Côte-Nord,148,1,136,12,1,0,138,9,90033,164.38,10.00,1.11
10,10 - Nord-du-Québec,8,0,6,2,0,0,8,0,13558,59.01,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,260,13,245,15,9,0,215,36,89998,288.90,40.00,10.00
12,12 - Chaudière-Appalaches,1036,33,878,158,13,0,755,268,430309,240.76,62.28,3.02
13,13 - Laval,6759,21,5745,1014,682,1,5868,209,442745,1526.61,47.21,154.04
14,14 - Lanaudière,5094,18,4404,690,223,0,4756,115,520092,979.44,22.11,42.88
15,15 - Laurentides,4557,26,3975,582,274,1,4101,182,626968,726.83,29.03,43.70
16,16 - Montérégie,10145,69,9328,817,617,1,9111,417,1432751,708.08,29.10,43.06
17,17 - Nunavik,19,1,17,2,0,0,18,1,14260,133.24,7.01,0.00
18,18 - Terres-Cries-de-la-Baie-James,13,0,13,0,0,0,10,3,18385,70.71,16.32,0.00
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,38,0,37,1,0,0,32,6,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,69088,471,62342,6746,5809,4,59684,3595,8539073,809.08,42.10,68.03
