,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,300,12,293,7,2,0,209,89,197074,152.23,45.16,1.01
02,02 - Saguenay–Lac-Saint-Jean,403,2,303,100,26,0,356,21,277632,145.16,7.56,9.36
03,03 - Capitale-Nationale,3483,132,3286,197,206,0,2514,763,755459,461.04,101.00,27.27
04,04 - Mauricie et Centre-du-Québec,2308,14,2128,180,211,0,1981,116,522341,441.86,22.21,40.40
05,05 - Estrie,1658,17,1470,188,31,1,1458,169,493163,336.20,34.27,6.29
06,06 - Montréal,32292,229,29627,2665,3478,1,27340,1474,2065657,1563.28,71.36,168.37
07,07 - Outaouais,1230,20,1116,114,34,0,1018,178,401032,306.71,44.39,8.48
08,08 - Abitibi-Témiscamingue,193,1,161,32,4,0,187,2,147616,130.74,1.35,2.71
09,09 - Côte-Nord,150,2,138,12,1,0,139,10,90033,166.61,11.11,1.11
10,10 - Nord-du-Québec,8,0,6,2,0,0,8,0,13558,59.01,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,287,12,272,15,9,0,215,63,89998,318.90,70.00,10.00
12,12 - Chaudière-Appalaches,1098,38,933,165,15,1,791,292,430309,255.17,67.86,3.49
13,13 - Laval,6831,43,5810,1021,682,0,5909,240,442745,1542.87,54.21,154.04
14,14 - Lanaudière,5117,14,4427,690,223,0,4782,112,520092,983.86,21.53,42.88
15,15 - Laurentides,4593,16,4011,582,275,1,4130,188,626968,732.57,29.99,43.86
16,16 - Montérégie,10281,83,9456,825,617,0,9153,511,1432751,717.57,35.67,43.06
17,17 - Nunavik,19,0,17,2,0,0,18,1,14260,133.24,7.01,0.00
18,18 - Terres-Cries-de-la-Baie-James,15,2,14,1,0,0,11,4,18385,81.59,21.76,0.00
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,39,0,38,1,0,0,33,6,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,70307,637,63508,6799,5814,4,60254,4239,8539073,823.36,49.64,68.09
