,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,412,4,400,12,7,0,371,34,197074,209.06,17.25,3.55
02,02 - Saguenay–Lac-Saint-Jean,750,32,648,102,29,0,499,222,277632,270.14,79.96,10.45
03,03 - Capitale-Nationale,7144,227,6927,217,258,2,5582,1304,755459,945.65,172.61,34.15
04,04 - Mauricie et Centre-du-Québec,3535,138,3351,184,216,0,2555,764,522341,676.76,146.26,41.35
05,05 - Estrie,2307,44,2071,236,34,0,1942,331,493163,467.80,67.12,6.89
06,06 - Montréal,39203,235,36491,2712,3507,0,33427,2269,2065657,1897.85,109.84,169.78
07,07 - Outaouais,2024,16,1827,197,35,1,1733,256,401032,504.70,63.84,8.73
08,08 - Abitibi-Témiscamingue,243,1,211,32,4,0,210,29,147616,164.62,19.65,2.71
09,09 - Côte-Nord,165,0,153,12,1,0,157,7,90033,183.27,7.77,1.11
10,10 - Nord-du-Québec,9,0,7,2,0,0,9,0,13558,66.38,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,695,16,680,15,22,0,508,165,89998,772.24,183.34,24.44
12,12 - Chaudière-Appalaches,2587,75,2376,211,44,1,2013,530,430309,601.20,123.17,10.23
13,13 - Laval,8611,43,7519,1092,704,0,7400,507,442745,1944.91,114.51,159.01
14,14 - Lanaudière,6166,50,5475,691,225,0,5445,496,520092,1185.56,95.37,43.26
15,15 - Laurentides,5789,52,5194,595,292,1,5094,403,626968,923.33,64.28,46.57
16,16 - Montérégie,13639,161,12645,994,659,1,11510,1470,1432751,951.94,102.60,46.00
17,17 - Nunavik,28,0,26,2,0,0,26,2,14260,196.35,14.03,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,13,0,18385,76.15,0.00,5.44
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,68,0,67,1,0,0,63,5,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,93391,1094,86084,7307,6038,6,78559,8794,8539073,1093.69,102.99,70.71
