,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,359,9,348,11,2,0,293,64,197074,182.17,32.48,1.01
02,02 - Saguenay–Lac-Saint-Jean,458,3,358,100,26,0,379,53,277632,164.97,19.09,9.36
03,03 - Capitale-Nationale,4794,193,4589,205,226,2,3481,1087,755459,634.58,143.89,29.92
04,04 - Mauricie et Centre-du-Québec,2606,33,2427,179,211,0,2087,308,522341,498.91,58.97,40.40
05,05 - Estrie,1871,13,1666,205,32,0,1608,231,493163,379.39,46.84,6.49
06,06 - Montréal,35167,344,32480,2687,3483,1,29076,2608,2065657,1702.46,126.26,168.61
07,07 - Outaouais,1485,39,1331,154,34,0,1242,209,401032,370.29,52.12,8.48
08,08 - Abitibi-Témiscamingue,210,2,178,32,4,0,187,19,147616,142.26,12.87,2.71
09,09 - Côte-Nord,155,0,142,13,1,0,148,6,90033,172.16,6.66,1.11
10,10 - Nord-du-Québec,9,0,7,2,0,0,8,1,13558,66.38,7.38,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,441,17,426,15,14,0,266,161,89998,490.01,178.89,15.56
12,12 - Chaudière-Appalaches,1580,51,1392,188,24,2,1115,441,430309,367.18,102.48,5.58
13,13 - Laval,7508,97,6453,1055,688,1,6261,559,442745,1695.78,126.26,155.39
14,14 - Lanaudière,5444,46,4754,690,223,0,4935,286,520092,1046.74,54.99,42.88
15,15 - Laurentides,5011,74,4426,585,281,0,4362,368,626968,799.24,58.70,44.82
16,16 - Montérégie,11282,158,10378,904,628,5,9784,870,1432751,787.44,60.72,43.83
17,17 - Nunavik,21,0,19,2,0,0,19,2,14260,147.27,14.03,0.00
18,18 - Terres-Cries-de-la-Baie-James,13,0,13,0,1,0,12,0,18385,70.71,0.00,5.44
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,43,0,42,1,0,0,39,4,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,78459,1079,71431,7028,5878,11,65304,7277,8539073,918.82,85.22,68.84
