,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,322,5,313,9,2,0,237,83,197074,163.39,42.12,1.01
02,02 - Saguenay–Lac-Saint-Jean,417,7,317,100,26,0,362,29,277632,150.20,10.45,9.36
03,03 - Capitale-Nationale,3834,125,3635,199,208,0,2777,849,755459,507.51,112.38,27.53
04,04 - Mauricie et Centre-du-Québec,2380,23,2198,182,211,0,2014,155,522341,455.64,29.67,40.40
05,05 - Estrie,1739,28,1547,192,31,0,1513,195,493163,352.62,39.54,6.29
06,06 - Montréal,33184,245,30510,2674,3478,0,27775,1931,2065657,1606.46,93.48,168.37
07,07 - Outaouais,1292,27,1159,133,34,0,1091,167,401032,322.17,41.64,8.48
08,08 - Abitibi-Témiscamingue,197,2,165,32,4,0,187,6,147616,133.45,4.06,2.71
09,09 - Côte-Nord,150,0,138,12,1,0,145,4,90033,166.61,4.44,1.11
10,10 - Nord-du-Québec,8,0,6,2,0,0,8,0,13558,59.01,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,336,15,321,15,11,0,220,105,89998,373.34,116.67,12.22
12,12 - Chaudière-Appalaches,1241,41,1064,177,18,0,893,330,430309,288.40,76.69,4.18
13,13 - Laval,7018,73,5974,1044,683,0,6011,324,442745,1585.11,73.18,154.26
14,14 - Lanaudière,5211,40,4521,690,223,0,4826,162,520092,1001.94,31.15,42.88
15,15 - Laurentides,4703,37,4121,582,278,0,4185,240,626968,750.12,38.28,44.34
16,16 - Montérégie,10544,81,9700,844,617,0,9318,609,1432751,735.93,42.51,43.06
17,17 - Nunavik,19,0,17,2,0,0,18,1,14260,133.24,7.01,0.00
18,18 - Terres-Cries-de-la-Baie-James,13,0,13,0,1,1,12,0,18385,70.71,0.00,5.44
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,41,1,40,1,0,0,34,7,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,72651,750,65761,6890,5826,1,61628,5197,8539073,850.81,60.86,68.23
