,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,405,3,393,12,7,0,358,40,197074,205.51,20.30,3.55
02,02 - Saguenay–Lac-Saint-Jean,689,24,589,100,27,1,458,204,277632,248.17,73.48,9.73
03,03 - Capitale-Nationale,6732,174,6518,214,256,1,5292,1184,755459,891.11,156.73,33.89
04,04 - Mauricie et Centre-du-Québec,3268,51,3084,184,216,2,2480,572,522341,625.64,109.51,41.35
05,05 - Estrie,2203,25,1973,230,34,0,1870,299,493163,446.71,60.63,6.89
06,06 - Montréal,38677,250,35968,2709,3506,5,32806,2365,2065657,1872.38,114.49,169.73
07,07 - Outaouais,1963,38,1770,193,34,0,1645,284,401032,489.49,70.82,8.48
08,08 - Abitibi-Témiscamingue,240,-1,208,32,4,0,204,32,147616,162.58,21.68,2.71
09,09 - Côte-Nord,165,3,153,12,1,0,157,7,90033,183.27,7.77,1.11
10,10 - Nord-du-Québec,9,0,7,2,0,0,9,0,13558,66.38,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,661,16,647,14,21,0,450,190,89998,734.46,211.12,23.33
12,12 - Chaudière-Appalaches,2434,64,2228,206,41,-1,1856,537,430309,565.64,124.79,9.53
13,13 - Laval,8476,56,7390,1086,701,1,7224,551,442745,1914.42,124.45,158.33
14,14 - Lanaudière,6045,113,5353,692,225,0,5392,428,520092,1162.29,82.29,43.26
15,15 - Laurentides,5668,48,5078,590,289,2,4988,391,626968,904.03,62.36,46.09
16,16 - Montérégie,13284,187,12297,987,655,2,11234,1395,1432751,927.17,97.37,45.72
17,17 - Nunavik,28,0,26,2,0,0,22,6,14260,196.35,42.08,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,13,0,18385,76.15,0.00,5.44
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,55,4,54,1,0,0,52,3,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,91018,1055,83752,7266,6018,13,76512,8488,8539073,1065.90,99.40,70.48
