,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,402,4,390,12,7,0,344,51,197074,203.98,25.88,3.55
02,02 - Saguenay–Lac-Saint-Jean,597,26,497,100,26,0,435,136,277632,215.03,48.99,9.36
03,03 - Capitale-Nationale,6167,95,5958,209,246,2,4647,1274,755459,816.32,168.64,32.56
04,04 - Mauricie et Centre-du-Québec,3039,56,2855,184,214,0,2355,470,522341,581.80,89.98,40.97
05,05 - Estrie,2079,19,1854,225,34,0,1804,241,493163,421.56,48.87,6.89
06,06 - Montréal,37620,274,34914,2706,3495,0,31698,2427,2065657,1821.21,117.49,169.20
07,07 - Outaouais,1799,23,1623,176,34,0,1498,267,401032,448.59,66.58,8.48
08,08 - Abitibi-Témiscamingue,233,-1,201,32,4,0,200,29,147616,157.84,19.65,2.71
09,09 - Côte-Nord,161,1,149,12,1,0,155,5,90033,178.82,5.55,1.11
10,10 - Nord-du-Québec,9,0,7,2,0,0,9,0,13558,66.38,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,608,26,593,15,19,1,356,233,89998,675.57,258.89,21.11
12,12 - Chaudière-Appalaches,2149,81,1949,200,39,3,1596,514,430309,499.41,119.45,9.06
13,13 - Laval,8235,53,7165,1070,696,1,6925,614,442745,1859.99,138.68,157.20
14,14 - Lanaudière,5798,32,5106,692,224,1,5235,339,520092,1114.80,65.18,43.07
15,15 - Laurentides,5450,36,4861,589,284,0,4743,423,626968,869.26,67.47,45.30
16,16 - Montérégie,12542,119,11580,962,641,4,10776,1125,1432751,875.38,78.52,44.74
17,17 - Nunavik,23,0,21,2,0,0,21,2,14260,161.29,14.03,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,12,1,18385,76.15,5.44,5.44
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,49,-1,48,1,0,0,46,3,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,86976,843,79787,7189,5965,12,72857,8154,8539073,1018.56,95.49,69.86
