,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,697,25,685,12,15,0,551,131,197074,353.67,66.47,7.61
02,02 - Saguenay–Lac-Saint-Jean,4101,120,3960,141,95,2,2906,1100,277632,1477.14,396.21,34.22
03,03 - Capitale-Nationale,10693,70,10449,244,410,7,9223,1060,755459,1415.43,140.31,54.27
04,04 - Mauricie et Centre-du-Québec,6325,77,6125,200,249,0,5307,769,522341,1210.89,147.22,47.67
05,05 - Estrie,4091,102,3796,295,54,1,3417,620,493163,829.54,125.72,10.95
06,06 - Montréal,48451,286,45697,2754,3591,0,42123,2737,2065657,2345.55,132.50,173.84
07,07 - Outaouais,3287,47,3022,265,71,1,2846,370,401032,819.64,92.26,17.70
08,08 - Abitibi-Témiscamingue,258,0,226,32,4,0,252,2,147616,174.78,1.35,2.71
09,09 - Côte-Nord,196,1,184,12,2,0,175,19,90033,217.70,21.10,2.22
10,10 - Nord-du-Québec,52,0,50,2,0,0,33,19,13558,383.54,140.14,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1313,7,1295,18,37,0,1114,162,89998,1458.92,180.00,41.11
12,12 - Chaudière-Appalaches,4925,59,4690,235,119,5,4337,469,430309,1144.53,108.99,27.65
13,13 - Laval,10774,46,9588,1186,721,1,9496,557,442745,2433.45,125.81,162.85
14,14 - Lanaudière,10351,109,9653,698,301,3,8831,1219,520092,1990.22,234.38,57.87
15,15 - Laurentides,7605,44,7010,595,330,0,6877,398,626968,1212.98,63.48,52.63
16,16 - Montérégie,18797,161,17607,1190,829,3,16476,1492,1432751,1311.95,104.14,57.86
17,17 - Nunavik,29,0,27,2,0,0,29,0,14260,203.37,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,16,0,16,0,1,0,15,0,18385,87.03,0.00,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,78,0,76,2,0,0,74,4,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,132042,1154,124159,7883,6829,23,114085,11128,8539073,1546.33,130.32,79.97
