,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,309,9,300,9,2,0,215,92,197074,156.79,46.68,1.01
02,02 - Saguenay–Lac-Saint-Jean,406,3,306,100,26,0,356,24,277632,146.24,8.64,9.36
03,03 - Capitale-Nationale,3589,106,3354,197,208,2,2589,792,755459,475.08,104.84,27.53
04,04 - Mauricie et Centre-du-Québec,2322,14,2142,180,211,0,2001,110,522341,444.54,21.06,40.40
05,05 - Estrie,1674,16,1486,188,31,0,1473,170,493163,339.44,34.47,6.29
06,06 - Montréal,32564,272,29892,2672,3478,0,27456,1630,2065657,1576.45,78.91,168.37
07,07 - Outaouais,1251,21,1129,122,34,0,1040,177,401032,311.95,44.14,8.48
08,08 - Abitibi-Témiscamingue,196,3,164,32,4,0,187,5,147616,132.78,3.39,2.71
09,09 - Côte-Nord,151,1,139,12,1,0,139,11,90033,167.72,12.22,1.11
10,10 - Nord-du-Québec,8,0,6,2,0,0,8,0,13558,59.01,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,303,16,288,15,11,2,218,74,89998,336.67,82.22,12.22
12,12 - Chaudière-Appalaches,1143,45,971,172,16,1,821,306,430309,265.62,71.11,3.72
13,13 - Laval,6881,50,5854,1027,683,1,5959,239,442745,1554.17,53.98,154.26
14,14 - Lanaudière,5131,14,4441,690,223,0,4791,117,520092,986.56,22.50,42.88
15,15 - Laurentides,4624,31,4042,582,276,1,4145,203,626968,737.52,32.38,44.02
16,16 - Montérégie,10380,99,9544,836,617,0,9197,566,1432751,724.48,39.50,43.06
17,17 - Nunavik,19,0,17,2,0,0,18,1,14260,133.24,7.01,0.00
18,18 - Terres-Cries-de-la-Baie-James,13,-2,13,0,0,0,11,2,18385,70.71,10.88,0.00
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,39,0,38,1,0,0,33,6,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,71005,660,64128,6839,5821,7,60659,4525,8539073,831.53,52.99,68.17
