,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,330,2,319,11,2,0,257,71,197074,167.45,36.03,1.01
02,02 - Saguenay–Lac-Saint-Jean,433,6,333,100,26,0,365,42,277632,155.96,15.13,9.36
03,03 - Capitale-Nationale,4137,134,3938,199,209,0,2979,949,755459,547.61,125.62,27.67
04,04 - Mauricie et Centre-du-Québec,2432,12,2250,182,211,0,2040,181,522341,465.60,34.65,40.40
05,05 - Estrie,1770,8,1577,193,32,0,1547,191,493163,358.91,38.73,6.49
06,06 - Montréal,33736,318,31057,2679,3480,1,28034,2222,2065657,1633.18,107.57,168.47
07,07 - Outaouais,1355,27,1211,144,34,0,1138,183,401032,337.88,45.63,8.48
08,08 - Abitibi-Témiscamingue,200,2,168,32,4,0,187,9,147616,135.49,6.10,2.71
09,09 - Côte-Nord,151,1,138,13,1,0,146,4,90033,167.72,4.44,1.11
10,10 - Nord-du-Québec,8,0,6,2,0,0,8,0,13558,59.01,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,366,9,351,15,11,0,232,123,89998,406.68,136.67,12.22
12,12 - Chaudière-Appalaches,1323,57,1145,178,19,0,976,328,430309,307.45,76.22,4.42
13,13 - Laval,7160,78,6117,1043,684,0,6077,399,442745,1617.18,90.12,154.49
14,14 - Lanaudière,5275,40,4585,690,223,0,4846,206,520092,1014.24,39.61,42.88
15,15 - Laurentides,4775,47,4191,584,279,0,4241,255,626968,761.60,40.67,44.50
16,16 - Montérégie,10762,97,9893,869,618,0,9422,722,1432751,751.14,50.39,43.13
17,17 - Nunavik,19,0,17,2,0,0,18,1,14260,133.24,7.01,0.00
18,18 - Terres-Cries-de-la-Baie-James,13,0,13,0,1,0,12,0,18385,70.71,0.00,5.44
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,41,0,40,1,0,0,37,4,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,74288,838,67351,6937,5834,1,62564,5890,8539073,869.98,68.98,68.32
