,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,408,3,396,12,7,0,367,34,197074,207.03,17.25,3.55
02,02 - Saguenay–Lac-Saint-Jean,718,29,618,100,29,2,492,197,277632,258.62,70.96,10.45
03,03 - Capitale-Nationale,6917,185,6703,214,256,0,5442,1219,755459,915.60,161.36,33.89
04,04 - Mauricie et Centre-du-Québec,3397,129,3213,184,216,0,2536,645,522341,650.34,123.48,41.35
05,05 - Estrie,2263,60,2030,233,34,0,1910,319,493163,458.87,64.68,6.89
06,06 - Montréal,38968,291,36259,2709,3507,1,33131,2330,2065657,1886.47,112.80,169.78
07,07 - Outaouais,2008,45,1814,194,34,0,1695,279,401032,500.71,69.57,8.48
08,08 - Abitibi-Témiscamingue,242,2,210,32,4,0,205,33,147616,163.94,22.36,2.71
09,09 - Côte-Nord,165,0,153,12,1,0,157,7,90033,183.27,7.77,1.11
10,10 - Nord-du-Québec,9,0,7,2,0,0,9,0,13558,66.38,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,679,18,664,15,22,1,486,171,89998,754.46,190.00,24.44
12,12 - Chaudière-Appalaches,2512,78,2304,208,43,2,1922,547,430309,583.77,127.12,9.99
13,13 - Laval,8568,92,7479,1089,704,3,7330,534,442745,1935.20,120.61,159.01
14,14 - Lanaudière,6116,71,5425,691,225,0,5417,474,520092,1175.95,91.14,43.26
15,15 - Laurentides,5737,69,5144,593,291,2,5038,408,626968,915.04,65.08,46.41
16,16 - Montérégie,13478,194,12487,991,658,3,11365,1455,1432751,940.71,101.55,45.93
17,17 - Nunavik,28,0,26,2,0,0,22,6,14260,196.35,42.08,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,13,0,18385,76.15,0.00,5.44
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,68,13,67,1,0,0,63,5,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,92297,1279,85015,7282,6032,14,77602,8663,8539073,1080.88,101.45,70.64
