,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,477,4,465,12,7,0,415,55,197074,242.04,27.91,3.55
02,02 - Saguenay–Lac-Saint-Jean,1241,78,1133,108,41,1,791,409,277632,446.99,147.32,14.77
03,03 - Capitale-Nationale,8760,49,8527,233,307,3,7427,1026,755459,1159.56,135.81,40.64
04,04 - Mauricie et Centre-du-Québec,4430,100,4243,187,223,1,3451,756,522341,848.10,144.73,42.69
05,05 - Estrie,2706,40,2446,260,41,1,2330,335,493163,548.70,67.93,8.31
06,06 - Montréal,42404,233,39667,2737,3529,2,36607,2268,2065657,2052.81,109.80,170.84
07,07 - Outaouais,2479,58,2234,245,43,1,2161,275,401032,618.16,68.57,10.72
08,08 - Abitibi-Témiscamingue,249,1,217,32,4,0,238,7,147616,168.68,4.74,2.71
09,09 - Côte-Nord,172,1,160,12,2,1,166,4,90033,191.04,4.44,2.22
10,10 - Nord-du-Québec,9,0,7,2,0,0,9,0,13558,66.38,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,923,27,908,15,26,0,724,173,89998,1025.58,192.23,28.89
12,12 - Chaudière-Appalaches,3554,71,3324,230,71,0,2892,591,430309,825.92,137.34,16.50
13,13 - Laval,9290,57,8161,1129,711,1,8165,414,442745,2098.27,93.51,160.59
14,14 - Lanaudière,7354,137,6665,689,230,0,6188,936,520092,1413.98,179.97,44.22
15,15 - Laurentides,6332,44,5741,591,304,2,5650,378,626968,1009.94,60.29,48.49
16,16 - Montérégie,15524,165,14482,1042,706,2,13255,1563,1432751,1083.51,109.09,49.28
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,13,0,18385,76.15,0.00,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,67,-1,65,2,0,0,63,4,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,106016,1064,98488,7528,6246,15,90576,9194,8539073,1241.54,107.67,73.15
