,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,563,5,551,12,9,0,472,82,197074,285.68,41.61,4.57
02,02 - Saguenay–Lac-Saint-Jean,2213,89,2105,108,65,4,1278,870,277632,797.10,313.36,23.41
03,03 - Capitale-Nationale,9498,76,9260,238,356,12,8307,835,755459,1257.25,110.53,47.12
04,04 - Mauricie et Centre-du-Québec,5381,78,5190,191,234,0,4175,972,522341,1030.17,186.09,44.80
05,05 - Estrie,3227,85,2950,277,47,0,2653,527,493163,654.35,106.86,9.53
06,06 - Montréal,44969,253,42227,2742,3553,5,38891,2525,2065657,2176.98,122.24,172.00
07,07 - Outaouais,2820,18,2565,255,59,2,2455,306,401032,703.19,76.30,14.71
08,08 - Abitibi-Témiscamingue,254,2,222,32,4,0,244,6,147616,172.07,4.06,2.71
09,09 - Côte-Nord,174,1,162,12,2,0,168,4,90033,193.26,4.44,2.22
10,10 - Nord-du-Québec,26,2,24,2,0,0,9,17,13558,191.77,125.39,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1121,19,1106,15,29,0,906,186,89998,1245.58,206.67,32.22
12,12 - Chaudière-Appalaches,4161,34,3925,236,86,1,3524,551,430309,966.98,128.05,19.99
13,13 - Laval,9895,66,8738,1157,714,1,8676,505,442745,2234.92,114.06,161.27
14,14 - Lanaudière,8774,173,8081,693,249,3,7143,1382,520092,1687.01,265.72,47.88
15,15 - Laurentides,6932,66,6339,593,314,1,6070,548,626968,1105.64,87.40,50.08
16,16 - Montérégie,17022,192,15906,1116,771,9,14636,1615,1432751,1188.06,112.72,53.81
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,15,0,15,0,1,0,13,1,18385,81.59,5.44,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,75,3,73,2,0,0,70,5,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,117151,1162,109468,7683,6493,38,99721,10937,8539073,1371.94,128.08,76.04
