,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,480,3,468,12,7,0,423,50,197074,243.56,25.37,3.55
02,02 - Saguenay–Lac-Saint-Jean,1308,67,1200,108,43,2,818,447,277632,471.13,161.00,15.49
03,03 - Capitale-Nationale,8840,80,8608,232,318,11,7540,982,755459,1170.15,129.99,42.09
04,04 - Mauricie et Centre-du-Québec,4515,85,4328,187,223,0,3510,782,522341,864.38,149.71,42.69
05,05 - Estrie,2733,27,2472,261,42,1,2350,341,493163,554.18,69.15,8.52
06,06 - Montréal,42651,247,39914,2737,3530,1,36846,2275,2065657,2064.77,110.13,170.89
07,07 - Outaouais,2514,35,2266,248,45,2,2181,288,401032,626.88,71.81,11.22
08,08 - Abitibi-Témiscamingue,248,-1,216,32,4,0,239,5,147616,168.00,3.39,2.71
09,09 - Côte-Nord,172,0,160,12,2,0,166,4,90033,191.04,4.44,2.22
10,10 - Nord-du-Québec,9,0,7,2,0,0,9,0,13558,66.38,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,934,11,919,15,27,1,748,159,89998,1037.80,176.67,30.00
12,12 - Chaudière-Appalaches,3604,50,3374,230,71,0,2966,567,430309,837.54,131.77,16.50
13,13 - Laval,9342,52,8210,1132,711,0,8227,404,442745,2110.02,91.25,160.59
14,14 - Lanaudière,7472,118,6781,691,232,2,6267,973,520092,1436.67,187.08,44.61
15,15 - Laurentides,6383,51,5792,591,304,0,5697,382,626968,1018.07,60.93,48.49
16,16 - Montérégie,15662,138,14617,1045,712,6,13393,1557,1432751,1093.14,108.67,49.69
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,13,0,18385,76.15,0.00,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,69,2,67,2,0,0,64,5,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,106981,965,99442,7539,6272,26,91488,9221,8539073,1252.84,107.99,73.45
