,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,605,4,593,12,13,0,500,92,197074,306.99,46.68,6.60
02,02 - Saguenay–Lac-Saint-Jean,2911,113,2793,118,77,2,1647,1187,277632,1048.51,427.54,27.73
03,03 - Capitale-Nationale,10037,103,9799,238,382,4,8671,984,755459,1328.60,130.25,50.57
04,04 - Mauricie et Centre-du-Québec,5859,84,5666,193,238,0,4659,962,522341,1121.68,184.17,45.56
05,05 - Estrie,3595,82,3307,288,52,0,2875,668,493163,728.97,135.45,10.54
06,06 - Montréal,46583,313,43833,2750,3568,0,40068,2947,2065657,2255.12,142.67,172.73
07,07 - Outaouais,3004,41,2743,261,64,0,2596,344,401032,749.07,85.78,15.96
08,08 - Abitibi-Témiscamingue,256,0,224,32,4,0,246,6,147616,173.42,4.06,2.71
09,09 - Côte-Nord,179,1,167,12,2,0,170,7,90033,198.82,7.77,2.22
10,10 - Nord-du-Québec,33,1,31,2,0,0,20,13,13558,243.40,95.88,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1221,14,1203,18,33,1,984,204,89998,1356.70,226.67,36.67
12,12 - Chaudière-Appalaches,4544,38,4309,235,97,1,3849,598,430309,1055.99,138.97,22.54
13,13 - Laval,10295,88,9125,1170,718,2,8946,631,442745,2325.27,142.52,162.17
14,14 - Lanaudière,9515,103,8820,695,266,1,7759,1490,520092,1829.48,286.49,51.14
15,15 - Laurentides,7295,56,6702,593,321,1,6376,598,626968,1163.54,95.38,51.20
16,16 - Montérégie,17800,169,16658,1142,790,3,15365,1645,1432751,1242.37,114.81,55.14
17,17 - Nunavik,29,0,27,2,0,0,29,0,14260,203.37,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,17,1,16,1,1,0,14,2,18385,92.47,10.88,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,73,0,71,2,0,0,71,2,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,123854,1211,116090,7764,6626,15,104848,12380,8539073,1450.44,144.98,77.60
