,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,487,5,475,12,7,0,443,37,197074,247.12,18.77,3.55
02,02 - Saguenay–Lac-Saint-Jean,1547,86,1439,108,47,2,906,594,277632,557.21,213.95,16.93
03,03 - Capitale-Nationale,9063,74,8829,234,332,10,7885,846,755459,1199.67,111.98,43.95
04,04 - Mauricie et Centre-du-Québec,4758,97,4570,188,228,1,3725,805,522341,910.90,154.11,43.65
05,05 - Estrie,2838,31,2571,267,43,1,2424,371,493163,575.47,75.23,8.72
06,06 - Montréal,43289,205,40551,2738,3538,3,37525,2226,2065657,2095.65,107.76,171.28
07,07 - Outaouais,2617,49,2366,251,48,2,2288,281,401032,652.57,70.07,11.97
08,08 - Abitibi-Témiscamingue,248,0,216,32,4,0,244,0,147616,168.00,0.00,2.71
09,09 - Côte-Nord,172,0,160,12,2,0,168,2,90033,191.04,2.22,2.22
10,10 - Nord-du-Québec,11,2,9,2,0,0,9,2,13558,81.13,14.75,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1000,24,985,15,28,1,799,173,89998,1111.14,192.23,31.11
12,12 - Chaudière-Appalaches,3807,73,3575,232,79,2,3155,573,430309,884.71,133.16,18.36
13,13 - Laval,9469,56,8330,1139,711,0,8353,405,442745,2138.70,91.47,160.59
14,14 - Lanaudière,7831,120,7139,692,234,2,6504,1093,520092,1505.70,210.16,44.99
15,15 - Laurentides,6545,74,5952,593,309,0,5803,433,626968,1043.91,69.06,49.28
16,16 - Montérégie,16120,134,15057,1063,739,9,13760,1621,1432751,1125.11,113.14,51.58
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,15,0,15,0,1,0,13,1,18385,81.59,5.44,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,70,-1,68,2,0,0,66,4,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,109918,1029,102336,7582,6350,33,94101,9467,8539073,1287.24,110.87,74.36
