,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,626,13,614,12,13,0,530,83,197074,317.65,42.12,6.60
02,02 - Saguenay–Lac-Saint-Jean,3366,167,3240,126,82,1,2240,1044,277632,1212.40,376.04,29.54
03,03 - Capitale-Nationale,10245,84,10005,240,393,5,8867,985,755459,1356.13,130.38,52.02
04,04 - Mauricie et Centre-du-Québec,6018,85,5822,196,242,2,4934,842,522341,1152.12,161.20,46.33
05,05 - Estrie,3775,43,3484,291,52,0,3110,613,493163,765.47,124.30,10.54
06,06 - Montréal,47415,280,44662,2753,3579,2,40846,2990,2065657,2295.40,144.75,173.26
07,07 - Outaouais,3161,60,2899,262,67,2,2689,405,401032,788.22,100.99,16.71
08,08 - Abitibi-Témiscamingue,258,1,226,32,4,0,248,6,147616,174.78,4.06,2.71
09,09 - Côte-Nord,185,0,173,12,2,0,171,12,90033,205.48,13.33,2.22
10,10 - Nord-du-Québec,43,2,41,2,0,0,25,18,13558,317.16,132.76,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1262,13,1244,18,37,1,1037,188,89998,1402.25,208.89,41.11
12,12 - Chaudière-Appalaches,4710,65,4475,235,110,3,4075,525,430309,1094.56,122.01,25.56
13,13 - Laval,10490,62,9310,1180,718,0,9172,600,442745,2369.31,135.52,162.17
14,14 - Lanaudière,9904,117,9210,694,277,5,8195,1432,520092,1904.28,275.34,53.26
15,15 - Laurentides,7440,52,6845,595,327,3,6560,553,626968,1186.66,88.20,52.16
16,16 - Montérégie,18209,133,17047,1162,806,11,15806,1597,1432751,1270.91,111.46,56.26
17,17 - Nunavik,30,1,28,2,0,0,29,1,14260,210.38,7.01,0.00
18,18 - Terres-Cries-de-la-Baie-James,16,0,16,0,1,0,14,1,18385,87.03,5.44,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,77,1,75,2,0,0,74,3,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,127233,1179,119419,7814,6710,35,108625,11898,8539073,1490.01,139.34,78.58
