,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,473,2,461,12,7,0,412,54,197074,240.01,27.40,3.55
02,02 - Saguenay–Lac-Saint-Jean,1163,63,1055,108,40,3,751,372,277632,418.90,133.99,14.41
03,03 - Capitale-Nationale,8711,80,8479,232,304,5,7316,1091,755459,1153.07,144.42,40.24
04,04 - Mauricie et Centre-du-Québec,4330,95,4143,187,222,0,3381,727,522341,828.96,139.18,42.50
05,05 - Estrie,2666,46,2407,259,40,2,2321,305,493163,540.59,61.85,8.11
06,06 - Montréal,42171,277,39435,2736,3527,1,36345,2299,2065657,2041.53,111.30,170.74
07,07 - Outaouais,2421,50,2179,242,42,1,2121,258,401032,603.69,64.33,10.47
08,08 - Abitibi-Témiscamingue,248,0,216,32,4,0,234,10,147616,168.00,6.77,2.71
09,09 - Côte-Nord,171,-1,159,12,1,0,166,4,90033,189.93,4.44,1.11
10,10 - Nord-du-Québec,9,0,7,2,0,0,9,0,13558,66.38,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,896,20,881,15,26,0,711,159,89998,995.58,176.67,28.89
12,12 - Chaudière-Appalaches,3483,66,3254,229,71,3,2813,599,430309,809.42,139.20,16.50
13,13 - Laval,9233,62,8109,1124,710,0,8099,424,442745,2085.40,95.77,160.36
14,14 - Lanaudière,7217,121,6528,689,230,0,6112,875,520092,1387.64,168.24,44.22
15,15 - Laurentides,6288,70,5697,591,302,0,5605,381,626968,1002.92,60.77,48.17
16,16 - Montérégie,15359,156,14317,1042,704,2,13090,1565,1432751,1071.99,109.23,49.14
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,13,0,18385,76.15,0.00,5.44
98,Inconnu,3,0,3,0,0,0,2,1,           .,         .  ,         .  ,         .  
99,Hors Québec,68,1,66,2,0,0,63,5,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,104952,1108,97436,7516,6231,17,89592,9129,8539073,1229.08,106.91,72.97
