,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,342,9,331,11,2,0,270,70,197074,173.54,35.52,1.01
02,02 - Saguenay–Lac-Saint-Jean,447,4,347,100,26,0,369,52,277632,161.00,18.73,9.36
03,03 - Capitale-Nationale,4448,183,4247,201,220,4,3196,1032,755459,588.78,136.61,29.12
04,04 - Mauricie et Centre-du-Québec,2518,50,2339,179,211,0,2056,251,522341,482.06,48.05,40.40
05,05 - Estrie,1835,37,1634,201,32,0,1570,233,493163,372.09,47.25,6.49
06,06 - Montréal,34412,357,31726,2686,3482,1,28489,2441,2065657,1665.91,118.17,168.57
07,07 - Outaouais,1423,32,1271,152,34,0,1183,206,401032,354.83,51.37,8.48
08,08 - Abitibi-Témiscamingue,208,1,176,32,4,0,188,16,147616,140.91,10.84,2.71
09,09 - Côte-Nord,152,0,139,13,1,0,147,4,90033,168.83,4.44,1.11
10,10 - Nord-du-Québec,9,1,7,2,0,0,8,1,13558,66.38,7.38,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,410,26,395,15,14,0,247,149,89998,455.57,165.56,15.56
12,12 - Chaudière-Appalaches,1464,73,1278,186,19,0,989,456,430309,340.22,105.97,4.42
13,13 - Laval,7325,92,6277,1048,686,1,6140,499,442745,1654.45,112.71,154.94
14,14 - Lanaudière,5345,38,4655,690,223,0,4887,235,520092,1027.70,45.18,42.88
15,15 - Laurentides,4874,36,4289,585,281,1,4299,294,626968,777.39,46.89,44.82
16,16 - Montérégie,10982,112,10092,890,621,0,9574,787,1432751,766.50,54.93,43.34
17,17 - Nunavik,21,0,19,2,0,0,19,2,14260,147.27,14.03,0.00
18,18 - Terres-Cries-de-la-Baie-James,13,0,13,0,1,0,12,0,18385,70.71,0.00,5.44
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,43,1,42,1,0,0,38,5,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,76273,1052,69279,6994,5857,7,63683,6733,8539073,893.22,78.85,68.59
