,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,672,15,660,12,15,1,547,110,197074,340.99,55.82,7.61
02,02 - Saguenay–Lac-Saint-Jean,3981,161,3843,138,93,6,2772,1116,277632,1433.91,401.97,33.50
03,03 - Capitale-Nationale,10623,119,10380,243,403,3,9125,1095,755459,1406.16,144.94,53.35
04,04 - Mauricie et Centre-du-Québec,6248,84,6051,197,249,5,5209,790,522341,1196.15,151.24,47.67
05,05 - Estrie,3989,79,3694,295,53,1,3336,600,493163,808.86,121.66,10.75
06,06 - Montréal,48165,256,45411,2754,3591,2,41813,2761,2065657,2331.70,133.66,173.84
07,07 - Outaouais,3240,25,2977,263,70,0,2803,367,401032,807.92,91.51,17.45
08,08 - Abitibi-Témiscamingue,258,0,226,32,4,0,252,2,147616,174.78,1.35,2.71
09,09 - Côte-Nord,195,3,183,12,2,0,173,20,90033,216.59,22.21,2.22
10,10 - Nord-du-Québec,52,0,50,2,0,0,33,19,13558,383.54,140.14,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1306,21,1288,18,37,0,1103,166,89998,1451.14,184.45,41.11
12,12 - Chaudière-Appalaches,4866,54,4631,235,114,0,4268,484,430309,1130.82,112.48,26.49
13,13 - Laval,10728,80,9542,1186,720,1,9426,582,442745,2423.07,131.45,162.62
14,14 - Lanaudière,10242,115,9544,698,298,5,8680,1264,520092,1969.27,243.03,57.30
15,15 - Laurentides,7561,49,6966,595,330,2,6772,459,626968,1205.96,73.21,52.63
16,16 - Montérégie,18636,127,17453,1183,826,6,16302,1508,1432751,1300.71,105.25,57.65
17,17 - Nunavik,29,0,27,2,0,0,29,0,14260,203.37,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,16,0,16,0,1,0,14,1,18385,87.03,5.44,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,78,1,76,2,0,0,74,4,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,130888,1189,123021,7867,6806,32,112734,11348,8539073,1532.81,132.89,79.70
