,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,426,7,414,12,7,0,387,32,197074,216.16,16.24,3.55
02,02 - Saguenay–Lac-Saint-Jean,890,24,784,106,34,0,585,271,277632,320.57,97.61,12.25
03,03 - Capitale-Nationale,7982,117,7758,224,278,3,6296,1408,755459,1056.58,186.38,36.80
04,04 - Mauricie et Centre-du-Québec,3833,77,3649,184,222,3,2834,777,522341,733.81,148.75,42.50
05,05 - Estrie,2447,9,2200,247,34,0,2090,323,493163,496.18,65.50,6.89
06,06 - Montréal,40470,237,37750,2720,3514,1,34547,2409,2065657,1959.18,116.62,170.12
07,07 - Outaouais,2188,25,1974,214,37,2,1887,264,401032,545.59,65.83,9.23
08,08 - Abitibi-Témiscamingue,246,0,214,32,4,0,227,15,147616,166.65,10.16,2.71
09,09 - Côte-Nord,169,1,157,12,2,0,163,4,90033,187.71,4.44,2.22
10,10 - Nord-du-Québec,9,0,7,2,0,0,9,0,13558,66.38,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,772,13,757,15,22,0,596,154,89998,857.80,171.11,24.44
12,12 - Chaudière-Appalaches,2958,88,2742,216,49,0,2299,610,430309,687.41,141.76,11.39
13,13 - Laval,8870,51,7767,1103,706,0,7712,452,442745,2003.41,102.09,159.46
14,14 - Lanaudière,6529,87,5837,692,225,0,5632,672,520092,1255.35,129.21,43.26
15,15 - Laurentides,5967,32,5373,594,294,0,5303,370,626968,951.72,59.01,46.89
16,16 - Montérégie,14361,137,13340,1021,677,3,12119,1565,1432751,1002.34,109.23,47.25
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,13,0,18385,76.15,0.00,5.44
98,Inconnu,3,0,3,0,0,0,2,1,           .,         .  ,         .  ,         .  
99,Hors Québec,64,0,63,1,0,0,63,1,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,98226,905,90829,7397,6106,12,82792,9328,8539073,1150.31,109.24,71.51
