,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,572,9,560,12,9,0,473,90,197074,290.25,45.67,4.57
02,02 - Saguenay–Lac-Saint-Jean,2411,198,2302,109,68,3,1304,1039,277632,868.42,374.24,24.49
03,03 - Capitale-Nationale,9596,98,9357,239,362,6,8383,851,755459,1270.22,112.65,47.92
04,04 - Mauricie et Centre-du-Québec,5467,86,5276,191,237,3,4251,979,522341,1046.63,187.43,45.37
05,05 - Estrie,3286,59,3008,278,47,0,2681,558,493163,666.31,113.15,9.53
06,06 - Montréal,45287,318,42544,2743,3554,1,39068,2665,2065657,2192.38,129.01,172.05
07,07 - Outaouais,2831,11,2577,254,59,0,2479,293,401032,705.93,73.06,14.71
08,08 - Abitibi-Témiscamingue,254,0,222,32,4,0,244,6,147616,172.07,4.06,2.71
09,09 - Côte-Nord,174,0,162,12,2,0,168,4,90033,193.26,4.44,2.22
10,10 - Nord-du-Québec,27,1,25,2,0,0,9,18,13558,199.14,132.76,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1138,17,1123,15,29,0,925,184,89998,1264.47,204.45,32.22
12,12 - Chaudière-Appalaches,4255,94,4021,234,87,1,3587,581,430309,988.82,135.02,20.22
13,13 - Laval,9981,86,8825,1156,714,0,8722,545,442745,2254.35,123.10,161.27
14,14 - Lanaudière,8940,166,8246,694,255,6,7254,1431,520092,1718.93,275.14,49.03
15,15 - Laurentides,7024,92,6431,593,316,2,6124,584,626968,1120.31,93.15,50.40
16,16 - Montérégie,17166,144,16045,1121,771,0,14777,1618,1432751,1198.11,112.93,53.81
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,15,0,15,0,1,0,14,0,18385,81.59,0.00,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,74,-1,72,2,0,0,70,4,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,118529,1378,110840,7689,6515,22,100564,11450,8539073,1388.08,134.09,76.30
