,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,467,12,454,13,7,0,408,52,197074,236.97,26.39,3.55
02,02 - Saguenay–Lac-Saint-Jean,1049,19,942,107,37,2,680,332,277632,377.84,119.58,13.33
03,03 - Capitale-Nationale,8512,59,8281,231,290,1,7039,1183,755459,1126.73,156.59,38.39
04,04 - Mauricie et Centre-du-Québec,4148,69,3961,187,222,0,3269,657,522341,794.12,125.78,42.50
05,05 - Estrie,2599,26,2344,255,38,1,2262,299,493163,527.01,60.63,7.71
06,06 - Montréal,41649,254,38921,2728,3521,3,35804,2324,2065657,2016.26,112.51,170.45
07,07 - Outaouais,2331,43,2102,229,41,0,2044,246,401032,581.25,61.34,10.22
08,08 - Abitibi-Témiscamingue,247,0,215,32,4,0,233,10,147616,167.33,6.77,2.71
09,09 - Côte-Nord,171,-1,159,12,1,-1,166,4,90033,189.93,4.44,1.11
10,10 - Nord-du-Québec,11,1,9,2,0,0,9,2,13558,81.13,14.75,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,861,17,846,15,24,2,672,165,89998,956.69,183.34,26.67
12,12 - Chaudière-Appalaches,3351,85,3124,227,65,1,2653,633,430309,778.74,147.10,15.11
13,13 - Laval,9104,56,7989,1115,709,1,7999,396,442745,2056.26,89.44,160.14
14,14 - Lanaudière,6966,101,6276,690,230,1,5950,786,520092,1339.38,151.13,44.22
15,15 - Laurentides,6185,42,5589,596,300,1,5511,374,626968,986.49,59.65,47.85
16,16 - Montérégie,15052,146,14012,1040,699,5,12834,1519,1432751,1050.57,106.02,48.79
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,13,0,18385,76.15,0.00,5.44
98,Inconnu,3,0,3,0,0,0,2,1,           .,         .  ,         .  ,         .  
99,Hors Québec,66,0,64,2,0,0,62,4,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,102814,929,95331,7483,6189,17,87638,8987,8539073,1204.04,105.25,72.48
