,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,350,8,339,11,2,0,284,64,197074,177.60,32.48,1.01
02,02 - Saguenay–Lac-Saint-Jean,455,8,355,100,26,0,373,56,277632,163.89,20.17,9.36
03,03 - Capitale-Nationale,4601,153,4401,200,224,4,3337,1040,755459,609.03,137.66,29.65
04,04 - Mauricie et Centre-du-Québec,2573,55,2394,179,211,0,2071,291,522341,492.59,55.71,40.40
05,05 - Estrie,1858,23,1654,204,32,0,1590,236,493163,376.75,47.85,6.49
06,06 - Montréal,34823,411,32137,2686,3482,0,28779,2562,2065657,1685.81,124.03,168.57
07,07 - Outaouais,1446,23,1294,152,34,0,1212,200,401032,360.57,49.87,8.48
08,08 - Abitibi-Témiscamingue,208,0,176,32,4,0,187,17,147616,140.91,11.52,2.71
09,09 - Côte-Nord,155,3,142,13,1,0,147,7,90033,172.16,7.77,1.11
10,10 - Nord-du-Québec,9,0,7,2,0,0,8,1,13558,66.38,7.38,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,424,14,409,15,14,0,253,157,89998,471.12,174.45,15.56
12,12 - Chaudière-Appalaches,1529,65,1340,189,22,3,1068,439,430309,355.33,102.02,5.11
13,13 - Laval,7411,86,6359,1052,687,1,6194,530,442745,1673.88,119.71,155.17
14,14 - Lanaudière,5398,53,4708,690,223,0,4909,266,520092,1037.89,51.14,42.88
15,15 - Laurentides,4937,63,4352,585,281,0,4331,325,626968,787.44,51.84,44.82
16,16 - Montérégie,11124,142,10228,896,623,2,9663,838,1432751,776.41,58.49,43.48
17,17 - Nunavik,21,0,19,2,0,0,19,2,14260,147.27,14.03,0.00
18,18 - Terres-Cries-de-la-Baie-James,13,0,13,0,1,0,12,0,18385,70.71,0.00,5.44
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,43,0,42,1,0,0,39,4,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,77380,1107,70371,7009,5867,10,64478,7035,8539073,906.19,82.39,68.71
