,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,419,3,407,12,7,0,385,27,197074,212.61,13.70,3.55
02,02 - Saguenay–Lac-Saint-Jean,866,19,760,106,34,0,574,258,277632,311.92,92.93,12.25
03,03 - Capitale-Nationale,7865,168,7645,220,275,7,6138,1452,755459,1041.09,192.20,36.40
04,04 - Mauricie et Centre-du-Québec,3756,51,3572,184,219,0,2824,713,522341,719.07,136.50,41.93
05,05 - Estrie,2438,33,2191,247,34,0,2044,360,493163,494.36,73.00,6.89
06,06 - Montréal,40233,298,37512,2721,3513,-3,34372,2348,2065657,1947.71,113.67,170.07
07,07 - Outaouais,2163,32,1951,212,35,0,1850,278,401032,539.36,69.32,8.73
08,08 - Abitibi-Témiscamingue,246,1,214,32,4,0,225,17,147616,166.65,11.52,2.71
09,09 - Côte-Nord,168,0,156,12,2,0,162,4,90033,186.60,4.44,2.22
10,10 - Nord-du-Québec,9,0,7,2,0,0,9,0,13558,66.38,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,759,24,744,15,22,0,578,159,89998,843.35,176.67,24.44
12,12 - Chaudière-Appalaches,2870,88,2656,214,49,2,2253,568,430309,666.96,132.00,11.39
13,13 - Laval,8819,65,7719,1100,706,0,7650,463,442745,1991.89,104.57,159.46
14,14 - Lanaudière,6442,79,5750,692,225,0,5604,613,520092,1238.63,117.86,43.26
15,15 - Laurentides,5935,37,5341,594,294,2,5258,383,626968,946.62,61.09,46.89
16,16 - Montérégie,14224,138,13210,1014,674,12,12003,1547,1432751,992.78,107.97,47.04
17,17 - Nunavik,28,-1,26,2,0,0,26,2,14260,196.35,14.03,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,13,0,18385,76.15,0.00,5.44
98,Inconnu,3,1,3,0,0,0,2,1,           .,         .  ,         .  ,         .  
99,Hors Québec,64,-3,63,1,0,0,63,1,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,97321,1033,89941,7380,6094,20,82033,9194,8539073,1139.71,107.67,71.37
