,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,288,7,281,7,2,0,193,93,197074,146.14,47.19,1.01
02,02 - Saguenay–Lac-Saint-Jean,401,2,301,100,26,0,356,19,277632,144.44,6.84,9.36
03,03 - Capitale-Nationale,3351,103,3154,197,206,0,2447,698,755459,443.57,92.39,27.27
04,04 - Mauricie et Centre-du-Québec,2294,10,2116,178,211,0,1976,107,522341,439.18,20.48,40.40
05,05 - Estrie,1641,25,1453,188,30,0,1439,172,493163,332.75,34.88,6.08
06,06 - Montréal,32063,247,29407,2656,3477,0,27238,1348,2065657,1552.19,65.26,168.32
07,07 - Outaouais,1210,36,1102,108,34,0,1005,171,401032,301.72,42.64,8.48
08,08 - Abitibi-Témiscamingue,192,1,160,32,4,0,187,1,147616,130.07,0.68,2.71
09,09 - Côte-Nord,148,0,136,12,1,0,139,8,90033,164.38,8.89,1.11
10,10 - Nord-du-Québec,8,0,6,2,0,0,8,0,13558,59.01,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,275,15,260,15,9,0,215,51,89998,305.56,56.67,10.00
12,12 - Chaudière-Appalaches,1060,24,899,161,14,1,773,273,430309,246.33,63.44,3.25
13,13 - Laval,6788,29,5769,1019,682,0,5898,208,442745,1533.16,46.98,154.04
14,14 - Lanaudière,5103,9,4413,690,223,0,4770,110,520092,981.17,21.15,42.88
15,15 - Laurentides,4577,20,3995,582,274,0,4109,194,626968,730.02,30.94,43.70
16,16 - Montérégie,10198,53,9379,819,617,0,9124,457,1432751,711.78,31.90,43.06
17,17 - Nunavik,19,0,17,2,0,0,18,1,14260,133.24,7.01,0.00
18,18 - Terres-Cries-de-la-Baie-James,13,0,13,0,0,0,11,2,18385,70.71,10.88,0.00
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,39,1,38,1,0,0,33,6,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,69670,582,62901,6769,5810,1,59941,3919,8539073,815.90,45.89,68.04
