,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,482,1,470,12,7,0,437,38,197074,244.58,19.28,3.55
02,02 - Saguenay–Lac-Saint-Jean,1461,48,1353,108,45,0,879,537,277632,526.24,193.42,16.21
03,03 - Capitale-Nationale,8989,69,8755,234,322,4,7796,871,755459,1189.87,115.29,42.62
04,04 - Mauricie et Centre-du-Québec,4661,59,4473,188,227,4,3655,779,522341,892.33,149.14,43.46
05,05 - Estrie,2807,32,2543,264,42,0,2400,365,493163,569.18,74.01,8.52
06,06 - Montréal,43084,209,40346,2738,3535,6,37311,2238,2065657,2085.73,108.34,171.13
07,07 - Outaouais,2568,31,2318,250,46,0,2263,259,401032,640.35,64.58,11.47
08,08 - Abitibi-Témiscamingue,248,0,216,32,4,0,242,2,147616,168.00,1.35,2.71
09,09 - Côte-Nord,172,0,160,12,2,0,167,3,90033,191.04,3.33,2.22
10,10 - Nord-du-Québec,9,0,7,2,0,0,9,0,13558,66.38,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,976,25,961,15,27,0,777,172,89998,1084.47,191.12,30.00
12,12 - Chaudière-Appalaches,3734,67,3504,230,77,4,3107,550,430309,867.75,127.82,17.89
13,13 - Laval,9413,37,8280,1133,711,0,8313,389,442745,2126.05,87.86,160.59
14,14 - Lanaudière,7711,99,7019,692,232,0,6433,1046,520092,1482.62,201.12,44.61
15,15 - Laurentides,6471,42,5878,593,309,5,5768,394,626968,1032.11,62.84,49.28
16,16 - Montérégie,15986,151,14929,1057,730,11,13649,1607,1432751,1115.76,112.16,50.95
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,15,0,15,0,1,0,13,1,18385,81.59,5.44,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,71,1,69,2,0,0,66,5,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,108889,871,101325,7564,6317,34,93316,9256,8539073,1275.19,108.40,73.98
