,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,376,7,365,11,6,2,320,50,197074,190.79,25.37,3.04
02,02 - Saguenay–Lac-Saint-Jean,504,17,404,100,26,0,391,87,277632,181.54,31.34,9.36
03,03 - Capitale-Nationale,5392,132,5187,205,232,2,3836,1324,755459,713.74,175.26,30.71
04,04 - Mauricie et Centre-du-Québec,2729,39,2549,180,211,0,2164,354,522341,522.46,67.77,40.40
05,05 - Estrie,1925,23,1715,210,33,0,1695,197,493163,390.34,39.95,6.69
06,06 - Montréal,36207,269,33512,2695,3487,0,29946,2774,2065657,1752.81,134.29,168.81
07,07 - Outaouais,1629,49,1462,167,34,0,1331,264,401032,406.20,65.83,8.48
08,08 - Abitibi-Témiscamingue,213,0,181,32,4,0,190,19,147616,144.29,12.87,2.71
09,09 - Côte-Nord,158,1,146,12,1,0,149,8,90033,175.49,8.89,1.11
10,10 - Nord-du-Québec,9,1,7,2,0,0,8,1,13558,66.38,7.38,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,498,21,483,15,17,2,302,179,89998,553.35,198.89,18.89
12,12 - Chaudière-Appalaches,1809,73,1616,193,27,1,1292,490,430309,420.40,113.87,6.27
13,13 - Laval,7843,64,6787,1056,691,0,6460,692,442745,1771.45,156.30,156.07
14,14 - Lanaudière,5611,43,4919,692,223,0,5011,377,520092,1078.85,72.49,42.88
15,15 - Laurentides,5191,49,4605,586,283,0,4479,429,626968,827.95,68.42,45.14
16,16 - Montérégie,11735,111,10808,927,630,0,10086,1019,1432751,819.05,71.12,43.97
17,17 - Nunavik,22,1,20,2,0,0,19,3,14260,154.28,21.04,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,12,1,18385,76.15,5.44,5.44
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,47,0,46,1,0,0,42,5,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,81914,900,74828,7086,5906,7,67735,8273,8539073,959.28,96.88,69.16
