,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,442,4,430,12,7,0,393,42,197074,224.28,21.31,3.55
02,02 - Saguenay–Lac-Saint-Jean,944,22,837,107,34,0,604,306,277632,340.02,110.22,12.25
03,03 - Capitale-Nationale,8233,116,8006,227,285,0,6642,1306,755459,1089.80,172.88,37.73
04,04 - Mauricie et Centre-du-Québec,3980,68,3793,187,222,0,3000,758,522341,761.95,145.12,42.50
05,05 - Estrie,2511,38,2261,250,36,1,2155,320,493163,509.16,64.89,7.30
06,06 - Montréal,40869,146,38146,2723,3515,1,35028,2326,2065657,1978.50,112.60,170.16
07,07 - Outaouais,2249,26,2024,225,39,1,1952,258,401032,560.80,64.33,9.72
08,08 - Abitibi-Témiscamingue,248,1,216,32,4,0,231,13,147616,168.00,8.81,2.71
09,09 - Côte-Nord,171,1,159,12,2,0,166,3,90033,189.93,3.33,2.22
10,10 - Nord-du-Québec,9,0,7,2,0,0,9,0,13558,66.38,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,810,18,795,15,22,0,638,150,89998,900.02,166.67,24.44
12,12 - Chaudière-Appalaches,3139,90,2915,224,57,3,2446,636,430309,729.48,147.80,13.25
13,13 - Laval,8985,55,7878,1107,707,1,7858,420,442745,2029.38,94.86,159.69
14,14 - Lanaudière,6705,89,6013,692,227,0,5765,713,520092,1289.19,137.09,43.65
15,15 - Laurentides,6052,42,5457,595,298,0,5398,356,626968,965.28,56.78,47.53
16,16 - Montérégie,14657,162,13638,1019,687,4,12437,1533,1432751,1023.00,107.00,47.95
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,13,0,18385,76.15,0.00,5.44
98,Inconnu,3,0,3,0,0,0,2,1,           .,         .  ,         .  ,         .  
99,Hors Québec,65,1,64,1,0,0,63,2,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,100114,879,92682,7432,6143,11,84828,9143,8539073,1172.42,107.07,71.94
