,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,609,4,597,12,13,0,516,80,197074,309.02,40.59,6.60
02,02 - Saguenay–Lac-Saint-Jean,3098,187,2976,122,79,2,1667,1352,277632,1115.87,486.98,28.45
03,03 - Capitale-Nationale,10112,75,9873,239,386,4,8733,993,755459,1338.52,131.44,51.09
04,04 - Mauricie et Centre-du-Québec,5896,37,5703,193,240,2,4770,886,522341,1128.76,169.62,45.95
05,05 - Estrie,3648,53,3361,287,52,0,2956,640,493163,739.71,129.77,10.54
06,06 - Montréal,46868,285,44118,2750,3570,2,40346,2952,2065657,2268.91,142.91,172.83
07,07 - Outaouais,3062,58,2800,262,65,1,2636,361,401032,763.53,90.02,16.21
08,08 - Abitibi-Témiscamingue,257,1,225,32,4,0,247,6,147616,174.10,4.06,2.71
09,09 - Côte-Nord,181,2,169,12,2,0,170,9,90033,201.04,10.00,2.22
10,10 - Nord-du-Québec,35,2,33,2,0,0,24,11,13558,258.15,81.13,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1235,14,1217,18,33,0,1005,197,89998,1372.25,218.89,36.67
12,12 - Chaudière-Appalaches,4601,57,4366,235,99,2,3923,579,430309,1069.23,134.55,23.01
13,13 - Laval,10382,87,9209,1173,718,0,9015,649,442745,2344.92,146.59,162.17
14,14 - Lanaudière,9655,140,8960,695,272,6,7891,1492,520092,1856.40,286.87,52.30
15,15 - Laurentides,7368,73,6775,593,323,2,6453,592,626968,1175.18,94.42,51.52
16,16 - Montérégie,17940,140,16790,1150,794,4,15528,1618,1432751,1252.14,112.93,55.42
17,17 - Nunavik,29,0,27,2,0,0,29,0,14260,203.37,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,17,0,16,1,1,0,14,2,18385,92.47,10.88,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,76,3,74,2,0,0,72,4,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,125072,1218,117292,7780,6651,25,105998,12423,8539073,1464.70,145.48,77.89
