,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,402,-3,390,12,7,0,355,40,197074,203.98,20.30,3.55
02,02 - Saguenay–Lac-Saint-Jean,665,17,565,100,26,0,451,188,277632,239.53,67.72,9.36
03,03 - Capitale-Nationale,6558,93,6344,214,255,6,5091,1212,755459,868.08,160.43,33.75
04,04 - Mauricie et Centre-du-Québec,3217,77,3033,184,214,0,2472,531,522341,615.88,101.66,40.97
05,05 - Estrie,2178,31,1951,227,34,0,1856,288,493163,441.64,58.40,6.89
06,06 - Montréal,38427,296,35718,2709,3501,3,32505,2421,2065657,1860.28,117.20,169.49
07,07 - Outaouais,1925,41,1737,188,34,0,1594,297,401032,480.01,74.06,8.48
08,08 - Abitibi-Témiscamingue,241,5,209,32,4,0,203,34,147616,163.26,23.03,2.71
09,09 - Côte-Nord,162,0,150,12,1,0,157,4,90033,179.93,4.44,1.11
10,10 - Nord-du-Québec,9,0,7,2,0,0,9,0,13558,66.38,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,645,16,631,14,21,2,419,205,89998,716.68,227.78,23.33
12,12 - Chaudière-Appalaches,2370,79,2164,206,42,3,1767,561,430309,550.77,130.37,9.76
13,13 - Laval,8420,67,7339,1081,700,3,7153,567,442745,1901.77,128.06,158.10
14,14 - Lanaudière,5932,58,5240,692,225,0,5354,353,520092,1140.57,67.87,43.26
15,15 - Laurentides,5620,49,5028,592,287,2,4912,421,626968,896.38,67.15,45.78
16,16 - Montérégie,13097,141,12109,988,653,9,11083,1361,1432751,914.12,94.99,45.58
17,17 - Nunavik,28,2,26,2,0,0,22,6,14260,196.35,42.08,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,13,0,18385,76.15,0.00,5.44
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,51,0,50,1,0,0,49,2,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,89963,969,82707,7256,6005,28,75467,8491,8539073,1053.55,99.44,70.32
