,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,449,7,437,12,7,0,397,45,197074,227.83,22.83,3.55
02,02 - Saguenay–Lac-Saint-Jean,991,47,884,107,34,0,623,334,277632,356.95,120.30,12.25
03,03 - Capitale-Nationale,8324,91,8096,228,285,0,6790,1249,755459,1101.85,165.33,37.73
04,04 - Mauricie et Centre-du-Québec,4030,50,3843,187,222,0,3097,711,522341,771.53,136.12,42.50
05,05 - Estrie,2537,26,2287,250,37,1,2194,306,493163,514.43,62.05,7.50
06,06 - Montréal,41076,207,38352,2724,3515,0,35302,2259,2065657,1988.52,109.36,170.16
07,07 - Outaouais,2264,15,2037,227,40,1,1985,239,401032,564.54,59.60,9.97
08,08 - Abitibi-Témiscamingue,247,-1,215,32,4,0,233,10,147616,167.33,6.77,2.71
09,09 - Côte-Nord,171,0,159,12,2,0,166,3,90033,189.93,3.33,2.22
10,10 - Nord-du-Québec,9,0,7,2,0,0,9,0,13558,66.38,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,830,20,815,15,22,0,642,166,89998,922.24,184.45,24.44
12,12 - Chaudière-Appalaches,3200,61,2976,224,59,2,2525,616,430309,743.65,143.15,13.71
13,13 - Laval,9017,32,7906,1111,707,0,7911,399,442745,2036.61,90.12,159.69
14,14 - Lanaudière,6785,80,6093,692,227,0,5826,732,520092,1304.58,140.74,43.65
15,15 - Laurentides,6099,47,5502,597,299,1,5436,364,626968,972.78,58.06,47.69
16,16 - Montérégie,14784,127,13757,1027,692,5,12581,1511,1432751,1031.86,105.46,48.30
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,13,0,18385,76.15,0.00,5.44
98,Inconnu,3,0,3,0,0,0,2,1,           .,         .  ,         .  ,         .  
99,Hors Québec,64,-1,63,1,0,0,62,2,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,100922,808,93472,7450,6153,10,85822,8947,8539073,1181.88,104.78,72.06
