,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,405,1,393,12,7,0,353,45,197074,205.51,22.83,3.55
02,02 - Saguenay–Lac-Saint-Jean,648,40,548,100,26,0,449,173,277632,233.40,62.31,9.36
03,03 - Capitale-Nationale,6465,226,6250,215,249,2,4924,1292,755459,855.77,171.02,32.96
04,04 - Mauricie et Centre-du-Québec,3140,84,2956,184,214,0,2429,497,522341,601.14,95.15,40.97
05,05 - Estrie,2147,57,1920,227,34,0,1843,270,493163,435.35,54.75,6.89
06,06 - Montréal,38131,351,35423,2708,3498,1,32254,2379,2065657,1845.95,115.17,169.34
07,07 - Outaouais,1884,70,1697,187,34,0,1551,299,401032,469.79,74.56,8.48
08,08 - Abitibi-Témiscamingue,236,2,204,32,4,0,201,31,147616,159.87,21.00,2.71
09,09 - Côte-Nord,162,1,150,12,1,0,156,5,90033,179.93,5.55,1.11
10,10 - Nord-du-Québec,9,0,7,2,0,0,9,0,13558,66.38,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,629,14,614,15,19,0,382,228,89998,698.90,253.34,21.11
12,12 - Chaudière-Appalaches,2291,100,2087,204,39,0,1689,563,430309,532.41,130.84,9.06
13,13 - Laval,8353,94,7277,1076,697,1,7039,617,442745,1886.64,139.36,157.43
14,14 - Lanaudière,5874,57,5182,692,225,1,5304,345,520092,1129.42,66.33,43.26
15,15 - Laurentides,5571,86,4981,590,285,0,4827,459,626968,888.56,73.21,45.46
16,16 - Montérégie,12956,308,11974,982,644,2,10989,1323,1432751,904.27,92.34,44.95
17,17 - Nunavik,26,1,24,2,0,0,22,4,14260,182.33,28.05,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,13,0,18385,76.15,0.00,5.44
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,51,1,50,1,0,0,47,4,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,88994,1493,81753,7241,5977,7,74483,8534,8539073,1042.20,99.94,70.00
