,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,455,6,442,13,7,0,402,46,197074,230.88,23.34,3.55
02,02 - Saguenay–Lac-Saint-Jean,1030,39,923,107,35,1,644,351,277632,370.99,126.43,12.61
03,03 - Capitale-Nationale,8453,129,8225,228,289,4,6907,1257,755459,1118.92,166.39,38.25
04,04 - Mauricie et Centre-du-Québec,4079,49,3892,187,222,0,3183,674,522341,780.91,129.03,42.50
05,05 - Estrie,2573,36,2321,252,37,0,2239,297,493163,521.73,60.22,7.50
06,06 - Montréal,41395,319,38669,2726,3518,3,35586,2291,2065657,2003.96,110.91,170.31
07,07 - Outaouais,2288,24,2064,224,41,1,2010,237,401032,570.53,59.10,10.22
08,08 - Abitibi-Témiscamingue,247,0,215,32,4,0,233,10,147616,167.33,6.77,2.71
09,09 - Côte-Nord,172,1,160,12,2,0,166,4,90033,191.04,4.44,2.22
10,10 - Nord-du-Québec,10,1,8,2,0,0,9,1,13558,73.76,7.38,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,844,14,829,15,22,0,662,160,89998,937.80,177.78,24.44
12,12 - Chaudière-Appalaches,3266,66,3042,224,64,5,2588,614,430309,758.99,142.69,14.87
13,13 - Laval,9048,31,7937,1111,708,1,7948,392,442745,2043.61,88.54,159.91
14,14 - Lanaudière,6865,80,6174,691,229,2,5905,731,520092,1319.96,140.55,44.03
15,15 - Laurentides,6143,44,5546,597,299,0,5471,373,626968,979.79,59.49,47.69
16,16 - Montérégie,14906,122,13875,1031,694,2,12728,1484,1432751,1040.38,103.58,48.44
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,13,0,18385,76.15,0.00,5.44
98,Inconnu,3,0,3,0,0,0,2,1,           .,         .  ,         .  ,         .  
99,Hors Québec,66,2,64,2,0,0,62,4,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,101885,963,94429,7456,6172,19,86786,8927,8539073,1193.16,104.54,72.28
