,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,530,40,518,12,9,1,455,66,197074,268.93,33.49,4.57
02,02 - Saguenay–Lac-Saint-Jean,1757,101,1649,108,50,1,987,720,277632,632.85,259.34,18.01
03,03 - Capitale-Nationale,9198,55,8962,236,342,5,8051,805,755459,1217.54,106.56,45.27
04,04 - Mauricie et Centre-du-Québec,4981,116,4792,189,229,0,3831,921,522341,953.59,176.32,43.84
05,05 - Estrie,2953,50,2675,278,47,2,2494,412,493163,598.79,83.54,9.53
06,06 - Montréal,43837,287,41098,2739,3544,3,38014,2279,2065657,2122.18,110.33,171.57
07,07 - Outaouais,2680,34,2429,251,51,0,2333,296,401032,668.28,73.81,12.72
08,08 - Abitibi-Témiscamingue,250,1,218,32,4,0,244,2,147616,169.36,1.35,2.71
09,09 - Côte-Nord,172,0,160,12,2,0,168,2,90033,191.04,2.22,2.22
10,10 - Nord-du-Québec,20,6,18,2,0,0,9,11,13558,147.51,81.13,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1038,24,1023,15,29,1,830,179,89998,1153.36,198.89,32.22
12,12 - Chaudière-Appalaches,3924,65,3692,232,81,0,3296,547,430309,911.90,127.12,18.82
13,13 - Laval,9594,50,8451,1143,712,1,8448,434,442745,2166.94,98.02,160.81
14,14 - Lanaudière,8097,104,7405,692,238,1,6724,1135,520092,1556.84,218.23,45.76
15,15 - Laurentides,6673,67,6080,593,311,1,5900,462,626968,1064.33,73.69,49.60
16,16 - Montérégie,16368,132,15291,1077,753,9,14062,1553,1432751,1142.42,108.39,52.56
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,15,0,15,0,1,0,13,1,18385,81.59,5.44,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,71,1,69,2,0,0,66,5,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,112189,1133,104574,7615,6403,25,95956,9830,8539073,1313.83,115.12,74.98
