,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,555,7,543,12,9,0,465,81,197074,281.62,41.10,4.57
02,02 - Saguenay–Lac-Saint-Jean,2030,155,1922,108,53,0,1072,905,277632,731.18,325.97,19.09
03,03 - Capitale-Nationale,9340,74,9103,237,344,0,8196,800,755459,1236.33,105.90,45.54
04,04 - Mauricie et Centre-du-Québec,5222,102,5033,189,233,0,3987,1002,522341,999.73,191.83,44.61
05,05 - Estrie,3088,90,2813,275,46,0,2565,477,493163,626.16,96.72,9.33
06,06 - Montréal,44431,308,41690,2741,3547,0,38458,2426,2065657,2150.94,117.44,171.71
07,07 - Outaouais,2770,65,2516,254,56,1,2399,315,401032,690.72,78.55,13.96
08,08 - Abitibi-Témiscamingue,252,1,220,32,4,0,244,4,147616,170.71,2.71,2.71
09,09 - Côte-Nord,173,0,161,12,2,0,168,3,90033,192.15,3.33,2.22
10,10 - Nord-du-Québec,23,1,21,2,0,0,9,14,13558,169.64,103.26,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1077,26,1062,15,29,0,871,177,89998,1196.69,196.67,32.22
12,12 - Chaudière-Appalaches,4058,69,3825,233,85,2,3411,562,430309,943.04,130.60,19.75
13,13 - Laval,9720,64,8570,1150,713,0,8563,444,442745,2195.39,100.28,161.04
14,14 - Lanaudière,8437,182,7744,693,243,5,6914,1280,520092,1622.21,246.11,46.72
15,15 - Laurentides,6752,16,6159,593,314,0,5995,443,626968,1076.93,70.66,50.08
16,16 - Montérégie,16707,169,15607,1100,761,1,14362,1584,1432751,1166.08,110.56,53.11
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,15,0,15,0,1,0,13,1,18385,81.59,5.44,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,71,0,69,2,0,0,66,5,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,114752,1329,107102,7650,6440,9,97789,10523,8539073,1343.85,123.23,75.42
