Location Name,Facility Type,Location in Facility,Start Date,End Date,Resident/ Patient/ Child/ Student Cases,Resident/ Patient/ Child/ Student Deaths,Staff Cases,Staff Deaths,Total Cases,Total Deaths
ABRAAR ELEMENTARY SCHOOL,School,,2020-10-02 0:00,2020-10-17 0:00,1,0,6,0,7,0
ACADÉMIE PROVIDENCE SOEURS ANTONINES,School,,2020-10-22 0:00,2020-11-04 0:00,,,,,,
ADULT HIGH SCHOOL ESL CHILDCARE PROGRAM,Childcare,,2020-10-04 0:00,2020-10-16 0:00,1,0,0,0,1,0
ALL SAINTS HIGH SCHOOL,School,,2020-10-20 0:00,2020-10-23 0:00,2,0,0,0,2,0
ALTA VISTA MANOR,RH,Facility-wide,2020-10-23 0:00,,30,7,10,0,40,7
ALTA VISTA MANOR,RH,Facility-wide,2020-09-04 0:00,2020-09-18 0:00,1,0,0,0,1,0
AMICA WESTBORO PARK,RH,Facility-wide,2020-11-20 0:00,,0,0,1,0,1,0
AMICA WESTBORO PARK,RH,Facility-wide,2020-07-05 0:00,2020-07-14 0:00,0,0,1,0,1,0
ANDREW FLECK CHILDREN'S SERVICES,Childcare,,2020-10-12 0:00,2020-10-24 0:00,1,0,1,0,2,0
ANDREW FLECK CHILDREN'S SERVICES - HOME CHILDCARE,Childcare,,2020-08-21 0:00,2020-09-14 0:00,2,0,1,0,3,0
ANDREW FLECK CHILDREN'S SERVICES - HOME CHILDCARE,Childcare,,2020-09-08 0:00,2020-09-30 0:00,0,0,1,0,1,0
ANDREW FLECK CHILDREN'S SERVICES - HOME CHILDCARE - 2020-10-05,Childcare,,2020-10-05 0:00,2020-10-20 0:00,0,0,1,0,1,0
ANDREW FLECK CHILDREN'S SERVICES - HOME CHILDCARE - 2020-10-06,Childcare,,2020-10-06 0:00,2020-10-16 0:00,1,0,0,0,1,0
ANDREW FLECK CHILDREN'S SERVICES - HOME CHILDCARE - 2020-10-07,Childcare,,2020-10-07 0:00,2020-10-15 0:00,2,0,1,0,3,0
ASSOCIATION INTEGRATION SOCIALE D'OTTAWA,Other,Facility-wide,2020-04-24 0:00,2020-05-05 0:00,0,0,1,0,1,0
ASSOCIATION INTEGRATION SOCIALE D'OTTAWA - 00420,Other,Facility-wide,2020-09-27 0:00,2020-10-29 0:00,4,0,11,0,15,0
ASSOCIATION INTEGRATION SOCIALE D'OTTAWA - 00431,Other,Facility-wide,2020-09-29 0:00,2020-11-03 0:00,4,0,6,0,10,0
ASSOCIATION INTEGRATION SOCIALE D'OTTAWA - 00432,Other,Facility-wide,2020-09-29 0:00,2020-10-13 0:00,0,0,1,0,1,0
ASSOCIATION INTEGRATION SOCIALE D'OTTAWA - 00434,Other,Facility-wide,2020-09-29 0:00,2020-11-02 0:00,3,0,6,0,9,0
ASSOCIATION INTEGRATION SOCIALE D'OTTAWA - 00445,Other,Facility-wide,2020-10-02 0:00,2020-10-24 0:00,1,0,1,0,2,0
ASSOCIATION INTEGRATION SOCIALE D'OTTAWA - 00492,Other,Facility-wide,2020-10-09 0:00,2020-10-30 0:00,4,0,2,0,6,0
ASSOCIATION INTEGRATION SOCIALE D'OTTAWA - 21034,Other,Facility-wide,2020-11-21 0:00,,3,0,2,0,5,0
ASSUMPTION SCHOOL,School,,2020-09-23 0:00,2020-10-06 0:00,2,0,0,0,2,0
BAIRN CROFT -  MATHIEU WAY,Other,Facility-wide,2020-07-08 0:00,2020-07-22 0:00,0,0,1,0,1,0
BAIRN CROFT RESIDENTIAL SERVICES - 00456,Other,Facility-wide,2020-10-05 0:00,2020-10-26 0:00,2,0,1,0,3,0
BAIRN CROFT RESIDENTIAL SERVICES - 00491,Other,Facility-wide,2020-10-09 0:00,2020-10-30 0:00,7,0,8,0,15,0
