Location Name,Facility Type,Location in Facility,Reported Date,End Date,Resident/ Patient Cases,Resident/ Patient Deaths,Staff Cases,Staff Deaths,Total Cases,Total Deaths
ALTA VISTA MANOR,LTCH,Facility-wide,2020-09-04 00:00:00,2020-09-18 00:00:00,1,0,0,0,1,0
AMICA WESTBORO PARK,RH,Facility-wide,2020-07-05 00:00:00,2020-07-14 00:00:00,0,0,1,0,1,0
ANDREW FLECK CHILDREN'S SERVICES - HOME CHILDCARE,Childcare,"",2020-08-20 00:00:00,2020-09-14 00:00:00,2,0,1,0,3,0
ANDREW FLECK CHILDREN'S SERVICES - HOME CHILDCARE,Childcare,"",2020-09-09 00:00:00,,0,0,1,0,1,0
ASSOCIATION INTEGRATION SOCIALE D'OTTAWA,Other,Facility-wide,2020-04-24 00:00:00,2020-05-05 00:00:00,0,0,1,0,1,0
ASSUMPTION SCHOOL,School,"",2020-09-23 00:00:00,,2,0,0,0,2,0
BAIRN CROFT -  MATHIEU WAY,Other,Facility-wide,2020-07-08 00:00:00,2020-07-22 00:00:00,0,0,1,0,1,0
BARRHAVEN MANOR,RH,Facility-wide,2020-04-17 00:00:00,2020-05-01 00:00:00,0,0,1,0,1,0
BEACON LEARNING CENTRE,Childcare,"",2020-08-31 00:00:00,2020-09-12 00:00:00,0,0,1,0,1,0
BILLINGSWOOD MANOR,RH,Facility-wide,2020-07-21 00:00:00,2020-08-12 00:00:00,2,0,0,0,2,0
BILLINGSWOOD MANOR,RH,Facility-wide,2020-08-16 00:00:00,2020-09-09 00:00:00,6,1,4,0,10,1
BRUYERE RESIDENCE,LTCH,Facility-wide,2020-07-29 00:00:00,2020-08-11 00:00:00,0,0,1,0,1,0
CARLETON LODGE,LTCH,Facility-wide,2020-07-23 00:00:00,2020-08-11 00:00:00,0,0,2,0,2,0
CARLING FAMILY SHELTER,Other,Facility-wide,2020-08-01 00:00:00,2020-08-25 00:00:00,8,0,0,0,8,0
CARLINGVIEW MANOR,LTCH,Facility-wide,2020-04-07 00:00:00,2020-06-18 00:00:00,170,60,89,0,259,60
CARLINGVIEW MANOR,LTCH,,2020-07-16 00:00:00,2020-07-23 00:00:00,,,,,,
CARLINGWOOD RETIREMENT COMMUNITY,RH,Facility-wide,2020-09-26 00:00:00,,0,0,1,0,1,0
CENTRE D'ACCUEIL CHAMPLAIN,LTCH,Facility-wide,2020-05-02 00:00:00,2020-05-13 00:00:00,0,0,1,0,1,0
