Location Name,Facility Type,Reported Date,End Date,Resident/ Patient/ Child/ Student Cases,Resident/ Patient/ Child/ Student Deaths,Staff Cases,Staff Deaths,Total Cases,Total Deaths
WESTWOOD #2,RH,2020-04-28 0:00,2020-06-01 0:00,6,1,3,0,9,1
WEST END VILLA,LTCH,2020-05-02 0:00,2020-05-17 0:00,0,0,1,0,1,0
WEST END VILLA,LTCH,2020-08-30 0:00,,66,13,33,0,99,13
WELCOME HOUSE,Other,2020-06-18 0:00,2020-06-28 0:00,0,0,2,0,2,0
WEE WATCH WEST - HOME CHILD CARE,Childcare,2020-09-16 0:00,,1,0,0,0,1,0
Wee Watch Orleans - Home Child Care,Childcare,2020-09-21 0:00,,0,0,1,0,1,0
WATERFORD RETIREMENT,RH,2020-04-11 0:00,2020-04-20 0:00,0,0,1,0,1,0
WATERFORD RETIREMENT,RH,2020-07-27 0:00,2020-08-08 0:00,0,0,1,0,1,0
VILLAGIA IN THE GLEBE RETIREMENT RESIDENCE,RH,2020-09-23 0:00,,0,0,1,0,1,0
VILLA MARCONI,LTCH,2020-04-09 0:00,2020-04-23 0:00,0,0,3,0,3,0
VILLA MARCONI,LTCH,2020-08-07 0:00,2020-08-17 0:00,0,0,1,0,1,0
UNIVERSITY OF OTTAWA HEART INSTITUTE,Hospital,2020-04-17 0:00,2020-04-28 0:00,1,1,0,0,1,1
TOH - RIVERSIDE CAMPUS,Hospital,2020-04-21 0:00,2020-05-07 0:00,5,0,1,0,6,0
TOH - GENERAL CAMPUS,Hospital,2020-04-05 0:00,2020-04-28 0:00,1,1,6,0,7,1
TOH - GENERAL CAMPUS,Hospital,2020-05-22 0:00,2020-06-09 0:00,0,0,3,0,3,0
TOH - CIVIC CAMPUS,Hospital,2020-04-03 0:00,2020-04-14 0:00,0,0,1,0,1,0
TOH - CIVIC CAMPUS,Hospital,2020-04-26 0:00,2020-05-05 0:00,1,0,0,0,1,0
TOH - CIVIC CAMPUS,Hospital,2020-04-28 0:00,2020-05-11 0:00,0,0,2,0,2,0
TIMBERWALK RETIREMENT COMMUNITY,RH,2020-08-28 0:00,2020-09-11 0:00,0,0,1,0,1,0
THE GLEBE PARENT'S DAYCARE - FIRST AVENUE CAMPUS,Childcare,2020-09-18 0:00,,1,0,0,0,1,0
THE GLEBE CENTRE,LTCH,2020-06-14 0:00,2020-06-29 0:00,0,0,1,0,1,0
STILLWATER CREEK,RH,2020-05-16 0:00,2020-06-12 0:00,0,0,3,0,3,0
STARWOOD,LTCH,2020-04-13 0:00,2020-05-11 0:00,0,0,5,0,5,0
STARWOOD,LTCH,2020-09-25 0:00,,0,0,1,0,1,0
ST.LOUIS RESIDENCE,LTCH,2020-09-12 0:00,,1,0,3,0,4,0
ST. PATRICK'S HOME,LTCH,2020-04-29 0:00,2020-06-15 0:00,10,3,6,0,16,3
ST. PATRICK'S HOME,LTCH,2020-07-27 0:00,2020-08-11 0:00,0,0,1,0,1,0
ST. PATRICK'S HOME,LTCH,2020-09-11 0:00,2020-09-26 0:00,0,0,2,0,2,0
ST. LOUIS RESIDENCE,LTCH,2020-04-21 0:00,2020-06-29 0:00,35,9,20,0,55,9
ST VINCENT HOSPITAL,Hospital,2020-09-23 0:00,,9,0,8,0,17,0
SHEPHERDS OF GOOD HOPE,Other,2020-05-14 0:00,2020-06-05 0:00,5,0,0,0,5,0
ROCKCLIFFE RETIREMENT,RH,2020-05-02 0:00,2020-05-26 0:00,1,0,1,0,2,0
ROCKCLIFFE RETIREMENT,RH,2020-08-25 0:00,2020-09-08 0:00,1,0,1,0,2,0
ROBERTSON HOUSE,RH,2020-05-26 0:00,2020-06-18 0:00,4,0,1,0,5,0
ROBERTSON HOME,RH,2020-09-22 0:00,,0,0,1,0,1,0
RIVERVIEW DEVELOPMENT SERVICES,Other,2020-09-11 0:00,,1,0,4,0,5,0
RIVERSIDE MONTESSORI PRESCHOOL,Childcare,2020-09-26 0:00,,1,0,0,0,1,0
RESIDENCE ST LOUIS,LTCH,2020-08-17 0:00,2020-09-03 0:00,0,0,2,0,2,0
RENÉE TASSÉ DAYCARE,Childcare,2020-07-24 0:00,2020-08-08 0:00,0,0,3,0,3,0
REDWOODS,RH,2020-07-17 0:00,2020-08-03 0:00,0,0,1,0,1,0
RED OAK RETIREMENT,RH,2020-05-02 0:00,2020-05-20 0:00,0,0,2,0,2,0
QUEENSWAY CARLETON HOSPITAL,Hospital,2020-05-10 0:00,2020-06-05 0:00,2,2,6,0,8,2
PROMENADE RETIREMENT RESIDENCE,RH,2020-03-26 0:00,2020-05-18 0:00,12,4,4,0,16,4
PORTOBELLO MANOR,RH,2020-08-30 0:00,2020-09-26 0:00,0,0,2,0,2,0
PLACE BESSERER - BRUYERE VILLAGE,Other,2020-05-15 0:00,2020-05-28 0:00,1,0,1,0,2,0
PINECREST QUEENSWAY (HEADSTART) CHILD CARE,Childcare,2020-07-20 0:00,2020-08-04 0:00,2,0,1,0,3,0
PETER D CLARK,LTCH,2020-04-28 0:00,2020-07-04 0:00,24,8,21,0,45,8
PETER D CLARK,LTCH,2020-09-11 0:00,2020-09-26 0:00,0,0,1,0,1,0
PERLEY RIDEAU VETERANS' HEALTH CENTRE,LTCH,2020-04-15 0:00,2020-05-25 0:00,21,11,32,0,53,11
PERLEY RIDEAU VETERANS' HEALTH CENTRE,LTCH,2020-06-03 0:00,2020-07-14 0:00,3,1,7,0,10,1
PERLEY RIDEAU VETERANS' HEALTH CENTRE,LTCH,2020-09-02 0:00,,1,0,5,0,6,0
PARK PLACE,RH,2020-03-20 0:00,2020-04-10 0:00,0,0,1,0,1,0
PARK PLACE,RH,2020-04-22 0:00,2020-05-02 0:00,0,0,1,0,1,0
OTTAWA CARLETON ASSOCIATION FOR PERSONS WITH DEVELOPMENTAL DISABILITIES,Other,2020-03-31 0:00,2020-04-09 0:00,0,0,1,0,1,0
OAKPARK RETIREMENT COMMUNITY,RH,2020-07-25 0:00,2020-08-04 0:00,0,0,1,0,1,0
OAKPARK RETIREMENT,RH,2020-08-28 0:00,2020-09-11 0:00,0,0,1,0,1,0
NEW EDINBURGH SQUARE CHARTWELL,RH,2020-08-31 0:00,,3,0,3,0,6,0
MOTHERCRAFT OTTAWA HOME CHILD CARE,Childcare,2020-08-05 0:00,2020-08-19 0:00,1,0,0,0,1,0
MONTFORT LONG-TERM CARE CENTRE,LTCH,2020-04-08 0:00,2020-06-08 0:00,87,31,31,0,118,31
MONTFORT LONG-TERM CARE CENTRE,LTCH,2020-06-13 0:00,2020-06-24 0:00,0,0,1,0,1,0
MONSIGNOR PAUL BAXTER,School,2020-09-18 0:00,,2,0,2,0,4,0
METCALFE HOME DAYCARE,Childcare,2020-07-24 0:00,2020-08-04 0:00,1,0,0,0,1,0
MAPLEWOOD RETIREMENT COMMUNITY,RH,2020-03-28 0:00,2020-05-01 0:00,11,2,4,0,15,2
MANOIR MAROCHEL,LTCH,2020-04-05 0:00,2020-05-21 0:00,36,10,14,0,50,10
MAISON ACCUEIL-SAGESSE,RH,2020-04-17 0:00,2020-05-03 0:00,1,0,1,0,2,0
MADONNA CARE COMMUNITY,LTCH,2020-04-06 0:00,2020-06-08 0:00,97,47,60,2,157,49
MADONNA CARE COMMUNITY,LTCH,2020-07-16 0:00,2020-07-29 0:00,1,0,0,0,1,0
LYCEE CLAUDEL,School,2020-09-23 0:00,,2,0,0,0,2,0
LORD LANSDOWNE,RH,2020-05-04 0:00,2020-05-18 0:00,1,0,1,0,2,0
LESTER B PEARSON,School,2020-09-25 0:00,,1,0,1,0,2,0
LAURIER MANOR,LTCH,2020-04-13 0:00,2020-06-16 0:00,65,25,38,0,103,25
LAURIER MANOR,LTCH,2020-09-01 0:00,,13,0,7,0,20,0
LANDMARK COURT,RH,2020-08-28 0:00,2020-09-04 0:00,1,0,0,0,1,0
LA CLEMENTINE - MICHEL DUPUIS,Childcare,2020-07-20 0:00,2020-08-04 0:00,4,0,2,0,6,0
JARDIN ROYAL GARDEN,RH,2020-07-16 0:00,2020-07-28 0:00,0,0,3,0,3,0
HÔPITAL MONTFORT,Hospital,2020-04-02 0:00,2020-04-14 0:00,0,0,2,0,2,0
HÔPITAL MONTFORT,Hospital,2020-04-05 0:00,2020-04-17 0:00,0,0,1,0,1,0
HÔPITAL MONTFORT,Hospital,2020-04-10 0:00,2020-04-20 0:00,0,0,1,0,1,0
HÔPITAL MONTFORT,Hospital,2020-09-23 0:00,,1,0,4,0,5,0
HILLEL LODGE,LTCH,2020-09-08 0:00,,2,0,5,0,7,0
GRANDIR ENSEMBLE - LA MAISONNEE,Childcare,2020-07-28 0:00,2020-08-13 0:00,0,0,4,0,4,0
GRANDIR ENSEMBLE - GEORGE ETIENNE CARTIER,Childcare,2020-09-18 0:00,,0,0,1,0,1,0
