Régions sociosanitaires;6 septembre;7 septembre;8 septembre;9 septembre;10 septembre;11 septembre;12 septembre;Total des cas de la semaine du 6 au 12 septembre 2020
01 - Bas-Saint-Laurent;0;0;1;11;19;29;21;81
02 - Saguenay – Lac-Saint-Jean;0;0;0;0;0;2;0;2
03 - Capitale-Nationale;51;39;44;24;42;29;42;271
04 - Mauricie-et-Centre-du-Québec;1;3;4;8;5;2;7;30
05 - Estrie;6;4;13;14;17;27;17;98
06 - Montréal;63;43;54;42;42;80;88;412
07 - Outaouais;7;6;17;13;18;8;15;84
08 - Abitibi-Témiscamingue;1;0;1;-2;0;1;1;2
09 - Côte-Nord;0;0;0;4;3;-1;1;7
10 - Nord-du-Québec;0;0;0;0;0;0;0;0
11 - Gaspésie – Îles-de-la-Madeleine;0;0;0;2;1;2;0;5
12 - Chaudière-Appalaches;7;17;8;18;18;18;20;106
13 - Laval;18;27;7;15;13;11;27;118
14 - Lanaudière;18;4;5;6;11;17;6;67
15 - Laurentides;10;2;4;9;10;7;26;68
16 - Montérégie;34;18;22;27;20;36;38;195
17 - Nunavik;0;0;0;0;0;0;0;0
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;1;0;0;1
Hors Québec;0;0;0;1;1;1;1;4
Région à déterminer;0;0;0;0;0;0;0;0
Total;216;163;180;191;220;268;309;1547
