Régions sociosanitaires;15 novembre;16 novembre;17 novembre;18 novembre;19 novembre;20 novembre;21 novembre;Total des cas de la semaine du 15 au 21 novembre 2020
01 - Bas-Saint-Laurent;4;4;13;12;19;15;25;92
02 - Saguenay – Lac-Saint-Jean;187;101;167;241;213;161;120;1190
03 - Capitale-Nationale;75;49;84;121;138;119;70;656
04 - Mauricie-et-Centre-du-Québec;37;37;85;87;59;84;77;466
05 - Estrie;53;84;43;66;69;79;102;496
06 - Montréal;285;267;280;200;294;256;286;1868
07 - Outaouais;58;39;60;22;32;25;47;283
08 - Abitibi-Témiscamingue;1;0;1;0;0;0;0;2
09 - Côte-Nord;2;4;0;0;7;3;1;17
10 - Nord-du-Québec;2;6;2;4;5;0;0;19
11 - Gaspésie – Îles-de-la-Madeleine;14;14;13;11;12;21;7;92
12 - Chaudière-Appalaches;57;44;65;60;42;54;59;381
13 - Laval;87;46;62;90;68;80;46;479
14 - Lanaudière;140;132;117;118;105;115;109;836
15 - Laurentides;73;20;52;35;37;49;44;310
16 - Montérégie;140;136;133;141;159;127;161;997
17 - Nunavik;0;0;1;-1;0;0;0;0
18 - Terres-Cries-de-la-Baie-James;0;-1;0;0;0;0;0;-1
Hors Québec;3;0;1;0;0;1;0;5
Région à déterminer;0;0;0;0;0;0;0;0
Total;1218;982;1179;1207;1259;1189;1154;8188
