Régions sociosanitaires;27 septembre;28 septembre;29 septembre;30 septembre;1 octobre;2 octobre;3 octobre;Total des cas de la semaine du 27 septembre au 3 octobre 2020
01 - Bas-Saint-Laurent;5;6;2;3;9;8;9;42
02 - Saguenay – Lac-Saint-Jean;7;10;6;10;4;8;3;48
03 - Capitale-Nationale;125;169;134;128;183;153;193;1085
04 - Mauricie-et-Centre-du-Québec;23;40;12;36;50;55;33;249
05 - Estrie;28;23;8;28;37;23;13;160
06 - Montréal;245;234;318;319;357;411;344;2228
07 - Outaouais;27;36;27;36;32;23;39;220
08 - Abitibi-Témiscamingue;2;1;2;7;1;0;2;15
09 - Côte-Nord;0;0;1;1;0;3;0;5
10 - Nord-du-Québec;0;0;0;0;1;0;0;1
11 - Gaspésie – Îles-de-la-Madeleine;15;21;9;18;26;14;17;120
12 - Chaudière-Appalaches;41;25;57;68;73;65;51;380
13 - Laval;73;64;78;73;92;86;97;563
14 - Lanaudière;40;24;40;32;38;53;46;273
15 - Laurentides;37;25;47;63;36;63;74;345
16 - Montérégie;81;121;97;108;112;142;158;819
17 - Nunavik;0;0;0;2;0;0;0;2
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;0;0;0
Hors Québec;1;0;0;1;1;0;0;3
Région à déterminer;0;0;0;0;0;0;0;0
Total;750;799;838;933;1 052;1 107;1 079;3320
