Régions sociosanitaires;11 octobre;12 octobre;13 octobre;14 octobre;15 octobre;16 octobre;17 octobre;Total des cas de la semaine du 11 au 17 octobre 2020
01 - Bas-Saint-Laurent;4;1;2;-3;3;3;4;14
02 - Saguenay – Lac-Saint-Jean;38;13;25;17;24;29;32;178
03 - Capitale-Nationale;109;125;159;93;174;185;227;1072
04 - Mauricie-et-Centre-du-Québec;67;42;48;77;51;129;138;552
05 - Estrie;28;28;27;31;25;60;44;243
06 - Montréal;309;278;189;296;250;291;235;1848
07 - Outaouais;45;40;11;41;38;45;16;236
08 - Abitibi-Témiscamingue;-1;1;2;5;-1;2;1;9
09 - Côte-Nord;1;0;2;0;3;0;0;6
10 - Nord-du-Québec;0;0;0;0;0;0;0;0
11 - Gaspésie – Îles-de-la-Madeleine;28;7;12;16;16;18;16;113
12 - Chaudière-Appalaches;91;76;58;79;64;78;75;521
13 - Laval;65;54;46;67;56;92;43;423
14 - Lanaudière;32;43;34;58;113;71;50;401
15 - Laurentides;55;50;46;49;48;69;52;369
16 - Montérégie;186;162;181;141;187;194;161;1212
17 - Nunavik;0;2;2;2;0;0;0;6
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;0;0;0
Hors Québec;-1;1;0;0;4;13;0;17
Région à déterminer;0;0;0;0;0;0;0;0
Total;1056;923;844;969;1 055;1 279;1 094;3792
