Régions sociosanitaires;18 octobre;19 octobre;20 octobre;21 octobre;22 octobre;23 octobre;24 octobre;Total des cas de la semaine du 18 au 24 octobre 2020
01 - Bas-Saint-Laurent;2;1;1;3;7;12;4;30
02 - Saguenay – Lac-Saint-Jean;47;31;19;19;24;32;22;194
03 - Capitale-Nationale;272;92;190;168;117;135;116;1090
04 - Mauricie-et-Centre-du-Québec;57;43;68;51;77;79;68;443
05 - Estrie;47;22;30;33;9;26;38;205
06 - Montréal;192;273;223;298;237;253;146;1622
07 - Outaouais;38;49;20;32;25;35;26;225
08 - Abitibi-Témiscamingue;0;2;2;1;0;1;1;7
09 - Côte-Nord;0;1;1;0;1;1;1;5
10 - Nord-du-Québec;0;0;0;0;0;0;0;0
11 - Gaspésie – Îles-de-la-Madeleine;8;6;26;24;13;20;18;115
12 - Chaudière-Appalaches;48;47;98;88;88;91;90;550
13 - Laval;62;41;48;65;51;60;55;382
14 - Lanaudière;59;60;82;79;87;87;89;543
15 - Laurentides;32;41;51;37;32;43;42;278
16 - Montérégie;172;167;212;138;137;134;162;1122
17 - Nunavik;0;0;1;-1;0;0;0;0
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;0;0;0
Hors Québec;-2;0;0;-3;0;0;1;-4
Région à déterminer;0;1;0;1;0;0;0;2
Total;1034;877;1072;1033;905;1009;879;6809
