Régions sociosanitaires;1 novembre;2 novembre;3 novembre;4 novembre;5 novembre;6 novembre;7 novembre;Total des cas de la semaine du 1er au 7 novembre 2020
01 - Bas-Saint-Laurent;1;1;5;3;40;18;7;75
02 - Saguenay – Lac-Saint-Jean;105;48;86;109;101;118;155;722
03 - Capitale-Nationale;80;69;74;80;55;68;74;500
04 - Mauricie-et-Centre-du-Québec;87;59;97;107;116;139;102;707
05 - Estrie;42;32;31;65;50;45;90;355
06 - Montréal;224;209;205;261;287;286;308;1780
07 - Outaouais;23;31;49;29;34;25;65;256
08 - Abitibi-Témiscamingue;0;0;0;1;1;1;1;4
09 - Côte-Nord;0;0;0;0;0;1;0;1
10 - Nord-du-Québec;0;0;2;3;6;2;1;14
11 - Gaspésie – Îles-de-la-Madeleine;17;25;24;14;24;13;26;143
12 - Chaudière-Appalaches;63;67;73;52;65;65;69;454
13 - Laval;34;37;56;75;50;62;64;378
14 - Lanaudière;140;99;120;162;104;158;182;965
15 - Laurentides;46;42;74;61;67;63;84;437
16 - Montérégie;173;151;134;116;132;170;169;1045
17 - Nunavik;0;0;0;0;0;0;0;0
18 - Terres-Cries-de-la-Baie-James;1;0;0;0;0;0;0;1
Hors Québec;1;1;-1;0;1;0;0;2
Région à déterminer;0;0;0;0;0;0;0;0
Total;1037;871;1029;1138;1133;1234;1397;7839
