Régions sociosanitaires;8 novembre;9 novembre;10 novembre;11 novembre;12 novembre;13 novembre;14 novembre;Total des cas de la semaine du 8 au 14 novembre 2020
01 - Bas-Saint-Laurent;3;5;9;13;10;6;4;50
02 - Saguenay – Lac-Saint-Jean;94;89;198;197;82;108;113;881
03 - Capitale-Nationale;82;76;98;90;126;122;103;697
04 - Mauricie-et-Centre-du-Québec;81;78;86;106;101;101;84;637
05 - Estrie;54;85;59;73;78;76;82;507
06 - Montréal;285;253;318;325;317;341;313;2152
07 - Outaouais;32;18;11;31;39;62;41;234
08 - Abitibi-Témiscamingue;0;2;0;2;0;0;0;4
09 - Côte-Nord;0;1;0;1;2;1;1;6
10 - Nord-du-Québec;1;2;1;1;3;1;1;10
11 - Gaspésie – Îles-de-la-Madeleine;25;19;17;17;29;23;14;144
12 - Chaudière-Appalaches;69;34;94;57;69;125;38;486
13 - Laval;109;66;86;76;71;79;88;575
14 - Lanaudière;164;173;166;138;151;183;103;1078
15 - Laurentides;46;66;92;66;66;83;56;475
16 - Montérégie;123;192;144;172;155;138;169;1093
17 - Nunavik;0;0;0;0;0;1;0;1
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;2;-1;1;2
Hors Québec;1;3;-1;0;0;-1;0;2
Région à déterminer;0;0;0;0;0;0;0;0
Total;1169;1162;1378;1365;1301;1448;1211;9034
