Régions sociosanitaires;4 octobre;5 octobre;6 octobre;7 octobre;8 octobre;9 octobre;10 octobre;Total des cas de la semaine du 4 au 10 octobre 2020
01 - Bas-Saint-Laurent;3;7;7;4;6;5;7;39
02 - Saguenay – Lac-Saint-Jean;20;9;17;23;11;19;14;113
03 - Capitale-Nationale;265;201;132;199;144;184;153;1278
04 - Mauricie-et-Centre-du-Québec;57;27;39;60;74;69;51;377
05 - Estrie;25;6;23;25;38;40;32;189
06 - Montréal;329;442;269;290;345;277;227;2179
07 - Outaouais;29;66;49;32;31;53;31;291
08 - Abitibi-Témiscamingue;-1;4;0;4;6;10;1;24
09 - Côte-Nord;2;0;1;1;0;-1;2;5
10 - Nord-du-Québec;-1;0;1;0;0;0;0;0
11 - Gaspésie – Îles-de-la-Madeleine;9;27;21;20;20;26;18;141
12 - Chaudière-Appalaches;68;88;73;64;67;65;63;488
13 - Laval;173;98;64;87;87;86;79;674
14 - Lanaudière;36;88;43;30;35;43;47;322
15 - Laurentides;57;74;49;70;54;51;48;403
16 - Montérégie;119;223;111;169;182;169;168;1141
17 - Nunavik;0;0;1;0;0;1;0;2
18 - Terres-Cries-de-la-Baie-James;1;0;0;0;0;0;0;1
Hors Québec;0;4;0;0;2;0;1;7
Région à déterminer;0;0;0;0;0;0;0;0
Total;1 191;1 364;900;1 078;1 102;1 097;942;1842
