Régions sociosanitaires;13 septembre;14 septembre;15 septembre;16 septembre;17 septembre;18 septembre;19 septembre;Total des cas de la semaine du 13 au 19 septembre 2020
01 - Bas-Saint-Laurent;23;17;13;10;12;15;5;95
02 - Saguenay – Lac-Saint-Jean;0;0;1;0;1;4;1;7
03 - Capitale-Nationale;60;62;53;52;86;60;92;465
04 - Mauricie-et-Centre-du-Québec;3;5;17;8;8;14;13;68
05 - Estrie;9;9;28;9;13;30;21;119
06 - Montréal;135;160;97;73;58;128;160;811
07 - Outaouais;20;16;25;18;9;27;22;137
08 - Abitibi-Témiscamingue;-1;0;0;0;1;-1;1;0
09 - Côte-Nord;3;0;0;0;4;0;2;9
10 - Nord-du-Québec;0;1;0;-1;0;0;0;0
11 - Gaspésie – Îles-de-la-Madeleine;0;1;1;1;4;1;7;15
12 - Chaudière-Appalaches;32;16;16;20;21;36;19;160
13 - Laval;18;24;18;18;18;34;31;161
14 - Lanaudière;27;17;6;6;6;23;12;97
15 - Laurentides;10;7;13;14;7;23;17;91
16 - Montérégie;31;46;15;23;49;32;58;254
17 - Nunavik;0;0;0;0;0;0;0;0
18 - Terres-Cries-de-la-Baie-James;0;1;0;0;0;1;0;2
Hors Québec;2;0;0;0;0;0;1;3
Région à déterminer;0;0;0;0;0;0;0;0
Total;376;382;303;251;297;427;462;2498
