Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;405;1,4;368,7;0;
5-9 ans;354;1,2;329,1;0;
10-19 ans;1257;4,2;631,9;0;
20-29 ans;4143;14;1272,5;< 5;n.p.
30-39 ans;3930;13,3;1197,4;< 5;n.p.
40-49 ans;4041;13,6;1455,7;15;*5,4
50-59 ans;3632;12,3;1416;67;26,1
60-69 ans;2505;8,5;1157,9;222;102,6
70-79 ans;2459;8,3;1701,6;594;411
80 ans et +;6901;23,3;6860,5;2560;2545
Manquant;87;;;;
Total;29714;;1438,5;3465;167,7
