No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay – Lac-St-Jean,,21,,,,5,,26,"0,5%"
3,03 - Capitale-Nationale,3,90, 7,,28,,,128,"2,7%"
4,04 - Mauricie - Centre du Québec,5,119, 26,12,41,,,203,"4,2%"
5,05 - Estrie,,1, 6,,15,3,,25,"0,5%"
6,06 - Montréal,164,2089, 236,65,396,26,6,2982,"62,2%"
7,07 - Outaouais,4,12, 3,3,,,,22,"0,5%"
8,08 - Abitibi-Témiscamingue,,, 2,,1,,,3,"0,1%"
9,09 - Côte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Québec,,,,,,,,0,"0,0%"
11,11 - Gaspésie - Îles-de-la-Madeleine,,2, 1,,5,,,8,"0,2%"
12,12 - Chaudière-Appalaches,1,,,,7,,,8,"0,2%"
13,13 - Laval,1,416, 47,39,115,5,,623,"13,0%"
14,14 - Lanaudière,3,103, 35,2,49,,,192,"4,0%"
15,15 - Laurentides,28,67, 7,15,31,,,148,"3,1%"
16,16 - Montérégie,15,158, 71,23,149,6,2,424,"8,8%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Québec (n),225,3078, 442,159,837,45,8,4794,
9999,Ensemble du Québec (%),"4,7%","64,2%","9,2%","3,3%","17,5%","0,9%","0,2%",,"100,0%"
