No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay–Lac-Saint-Jean,,21,,,,5,,26,"0,5%"
3,03 - Capitale-Nationale,2,121, 7,,31,,,161,"3,1%"
4,04 - Mauricie et Centre-du-Québec,5,124, 26,12,43,,,210,"4,0%"
5,05 - Estrie,,1, 6,,15,3,,25,"0,5%"
6,06 - Montréal,172,2238, 258,69,442,30,7,3216,"61,0%"
7,07 - Outaouais,4,18, 3,6,1,,,32,"0,6%"
8,08 - Abitibi-Témiscamingue,,, 3,,1,,,4,"0,1%"
9,09 - Côte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Québec,,,,,,,,0,"0,0%"
11,11 - Gaspésie–Îles-de-la-Madeleine,,2, 2,,5,,,9,"0,2%"
12,12 - Chaudière-Appalaches,1,,,,7,,,8,"0,2%"
13,13 - Laval,3,437, 50,41,120,5,,656,"12,5%"
14,14 - Lanaudière,3,110, 36,5,49,,,203,"3,9%"
15,15 - Laurentides,34,81, 8,14,34,1,,172,"3,3%"
16,16 - Montérégie,18,231, 82,28,179,5,2,545,"10,3%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Québec,243,3384, 482,175,927,49,9,5269,
9999,,"4,6%","64,2%","9,1%","3,3%","17,6%","0,9%","0,2%",,"100,0%"
