No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay–Lac-Saint-Jean,,21,,,,5,,26,"0,5%"
3,03 - Capitale-Nationale,2,143, 7,2,31,,,185,"3,3%"
4,04 - Mauricie et Centre-du-Québec,4,124, 28,12,43,,,211,"3,8%"
5,05 - Estrie,,1, 7,,15,3,,26,"0,5%"
6,06 - Montréal,184,2384, 267,78,453,34,8,3408,"61,1%"
7,07 - Outaouais,4,18, 3,7,1,,,33,"0,6%"
8,08 - Abitibi-Témiscamingue,,, 3,,1,,,4,"0,1%"
9,09 - Côte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Québec,,,,,,,,0,"0,0%"
11,11 - Gaspésie–Îles-de-la-Madeleine,,2, 2,,5,,,9,"0,2%"
12,12 - Chaudière-Appalaches,1,,,,7,,,8,"0,1%"
13,13 - Laval,,450, 55,41,121,5,,672,"12,0%"
14,14 - Lanaudière,3,112, 39,5,49,,,208,"3,7%"
15,15 - Laurentides,42,82, 18,15,40,3,,200,"3,6%"
16,16 - Montérégie,8,248, 95,30,197,6,1,585,"10,5%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Québec,249,3585, 525,190,963,56,9,5577,
9999,,"4,5%","64,3%","9,4%","3,4%","17,3%","1,0%","0,2%",,"100,0%"
