No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay–Lac-Saint-Jean,,21,,,,5,,26,"0,5%"
3,03 - Capitale-Nationale,2,134, 7,2,31,,,176,"3,2%"
4,04 - Mauricie et Centre-du-Québec,4,124, 28,12,43,,,211,"3,8%"
5,05 - Estrie,,1, 7,,15,3,,26,"0,5%"
6,06 - Montréal,184,2357, 261,76,456,35,7,3376,"61,3%"
7,07 - Outaouais,4,18, 3,7,1,,,33,"0,6%"
8,08 - Abitibi-Témiscamingue,,, 3,,1,,,4,"0,1%"
9,09 - Côte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Québec,,,,,,,,0,"0,0%"
11,11 - Gaspésie–Îles-de-la-Madeleine,,2, 2,,5,,,9,"0,2%"
12,12 - Chaudière-Appalaches,1,,,,7,,,8,"0,1%"
13,13 - Laval,,441, 55,41,121,5,,663,"12,0%"
14,14 - Lanaudière,3,112, 39,5,49,,,208,"3,8%"
15,15 - Laurentides,38,81, 15,15,38,2,,189,"3,4%"
16,16 - Montérégie,9,243, 93,30,191,6,,572,"10,4%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Québec,246,3534, 514,188,958,56,7,5503,
9999,,"4,5%","64,2%","9,3%","3,4%","17,4%","1,0%","0,1%",,"100,0%"
