No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay–Lac-Saint-Jean,,21,,,,5,,26,"0,5%"
3,03 - Capitale-Nationale,2,129, 7,2,31,,,171,"3,2%"
4,04 - Mauricie et Centre-du-Québec,5,124, 26,12,43,,,210,"3,9%"
5,05 - Estrie,,1, 6,,15,3,,25,"0,5%"
6,06 - Montréal,177,2322, 257,72,459,35,7,3329,"61,5%"
7,07 - Outaouais,4,18, 3,7,1,,,33,"0,6%"
8,08 - Abitibi-Témiscamingue,,, 3,,1,,,4,"0,1%"
9,09 - Côte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Québec,,,,,,,,0,"0,0%"
11,11 - Gaspésie–Îles-de-la-Madeleine,,2, 2,,5,,,9,"0,2%"
12,12 - Chaudière-Appalaches,1,,,,7,,,8,"0,1%"
13,13 - Laval,,438, 54,41,121,5,,659,"12,2%"
14,14 - Lanaudière,3,110, 38,5,50,,,206,"3,8%"
15,15 - Laurentides,37,80, 9,14,36,2,,178,"3,3%"
16,16 - Montérégie,8,238, 89,28,188,6,,557,"10,3%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Québec,238,3483, 495,181,957,56,7,5417,
9999,,"4,4%","64,3%","9,1%","3,3%","17,7%","1,0%","0,1%",,"100,0%"
