No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay–Lac-Saint-Jean,,21,,,,5,,26,"0,5%"
3,03 - Capitale-Nationale,2,124, 7,1,31,,,165,"3,1%"
4,04 - Mauricie et Centre-du-Québec,5,124, 26,12,43,,,210,"3,9%"
5,05 - Estrie,,1, 6,,15,3,,25,"0,5%"
6,06 - Montréal,174,2277, 256,70,453,30,7,3267,"61,2%"
7,07 - Outaouais,4,18, 3,7,1,,,33,"0,6%"
8,08 - Abitibi-Témiscamingue,,, 3,,1,,,4,"0,1%"
9,09 - Côte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Québec,,,,,,,,0,"0,0%"
11,11 - Gaspésie–Îles-de-la-Madeleine,,2, 2,,5,,,9,"0,2%"
12,12 - Chaudière-Appalaches,1,,,,7,,,8,"0,1%"
13,13 - Laval,,438, 53,41,120,5,,657,"12,3%"
14,14 - Lanaudière,3,110, 38,5,49,,,205,"3,8%"
15,15 - Laurentides,36,80, 9,14,34,1,,174,"3,3%"
16,16 - Montérégie,13,237, 88,28,184,5,,555,"10,4%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Québec,239,3432, 492,178,943,49,7,5340,
9999,,"4,5%","64,3%","9,2%","3,3%","17,7%","0,9%","0,1%",,"100,0%"
