No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay – Lac-St-Jean,,21,,,,5,,26,"0,5%"
3,03 - Capitale-Nationale,3,102, 7,,28,,,140,"2,8%"
4,04 - Mauricie - Centre du Québec,5,121, 26,12,41,,,205,"4,1%"
5,05 - Estrie,,1, 6,,15,3,,25,"0,5%"
6,06 - Montréal,168,2144, 241,67,411,26,5,3062,"61,6%"
7,07 - Outaouais,4,14, 3,5,,,,26,"0,5%"
8,08 - Abitibi-Témiscamingue,,, 3,,1,,,4,"0,1%"
9,09 - Côte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Québec,,,,,,,,0,"0,0%"
11,11 - Gaspésie - Îles-de-la-Madeleine,,2, 1,,5,,,8,"0,2%"
12,12 - Chaudière-Appalaches,1,,,,7,,,8,"0,2%"
13,13 - Laval,2,424, 48,40,116,5,,635,"12,8%"
14,14 - Lanaudière,3,104, 35,5,49,,,196,"3,9%"
15,15 - Laurentides,30,68, 7,14,31,,,150,"3,0%"
16,16 - Montérégie,18,196, 75,24,161,7,2,483,"9,7%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Québec (n),235,3197, 453,167,865,46,7,4970,
9999,Ensemble du Québec (%),"4,7%","64,3%","9,1%","3,4%","17,4%","0,9%","0,1%",,"100,0%"
