No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay – Lac-St-Jean,,21,,,,5,,26,"0,6%"
3,03 - Capitale-Nationale,3,85, 7,,28,,,123,"2,6%"
4,04 - Mauricie - Centre du Québec,5,119, 26,12,41,,,203,"4,3%"
5,05 - Estrie,,1, 6,,15,3,,25,"0,5%"
6,06 - Montréal,163,2060, 233,65,393,27,6,2947,"62,5%"
7,07 - Outaouais,4,10, 3,3,,,,20,"0,4%"
8,08 - Abitibi-Témiscamingue,,, 2,,1,,,3,"0,1%"
9,09 - Côte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Québec,,,,,,,,0,"0,0%"
11,11 - Gaspésie - Îles-de-la-Madeleine,,2, 1,,5,,,8,"0,2%"
12,12 - Chaudière-Appalaches,1,,,,7,,,8,"0,2%"
13,13 - Laval,1,410, 46,39,113,5,,614,"13,0%"
14,14 - Lanaudière,3,102, 35,2,48,,,190,"4,0%"
15,15 - Laurentides,28,63, 7,14,31,,,143,"3,0%"
16,16 - Montérégie,16,147, 65,23,143,5,2,401,"8,5%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Québec (n),225,3020, 432,158,825,45,8,4713,
9999,Ensemble du Québec (%),"4,8%","64,1%","9,2%","3,4%","17,5%","1,0%","0,2%",,"100,0%"
