No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay–Lac-Saint-Jean,,21,,,,5,,26,"0,5%"
3,03 - Capitale-Nationale,2,122, 7,1,31,,,163,"3,1%"
4,04 - Mauricie et Centre-du-Québec,5,124, 26,12,43,,,210,"4,0%"
5,05 - Estrie,,1, 6,,15,3,,25,"0,5%"
6,06 - Montréal,173,2254, 258,69,447,30,7,3238,"61,1%"
7,07 - Outaouais,4,18, 3,6,1,,,32,"0,6%"
8,08 - Abitibi-Témiscamingue,,, 3,,1,,,4,"0,1%"
9,09 - Côte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Québec,,,,,,,,0,"0,0%"
11,11 - Gaspésie–Îles-de-la-Madeleine,,2, 2,,5,,,9,"0,2%"
12,12 - Chaudière-Appalaches,1,,,,7,,,8,"0,2%"
13,13 - Laval,3,438, 50,41,120,5,,657,"12,4%"
14,14 - Lanaudière,3,110, 37,5,49,,,204,"3,9%"
15,15 - Laurentides,35,80, 8,14,34,1,,172,"3,2%"
16,16 - Montérégie,18,231, 84,28,180,5,2,548,"10,3%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Québec,245,3401, 485,176,933,49,9,5298,
9999,,"4,6%","64,2%","9,2%","3,3%","17,6%","0,9%","0,2%",,"100,0%"
