"date","lhin_region","ICU","ICU_vented","hospitalizations"
"2020-04-02","CENTRAL",51,39,113
"2020-04-03","CENTRAL",57,52,141
"2020-04-04","CENTRAL",65,57,143
"2020-04-05","CENTRAL",65,55,174
"2020-04-06","CENTRAL",73,58,187
"2020-04-07","CENTRAL",83,68,183
"2020-04-08","CENTRAL",85,68,203
"2020-04-09","CENTRAL",92,73,205
"2020-04-10","CENTRAL",88,73,218
"2020-04-11","CENTRAL",90,77,230
"2020-04-12","CENTRAL",93,70,237
"2020-04-13","CENTRAL",92,78,248
"2020-04-14","CENTRAL",89,73,265
"2020-04-15","CENTRAL",89,74,284
"2020-04-16","CENTRAL",86,67,287
"2020-04-17","CENTRAL",86,72,293
"2020-04-18","CENTRAL",90,74,298
"2020-04-19","CENTRAL",88,73,299
"2020-04-20","CENTRAL",87,74,309
"2020-04-21","CENTRAL",88,72,317
"2020-04-22","CENTRAL",85,68,316
"2020-04-23","CENTRAL",85,67,320
"2020-04-24","CENTRAL",88,67,351
"2020-04-25","CENTRAL",91,73,367
"2020-04-26","CENTRAL",92,70,383
"2020-04-27","CENTRAL",91,70,382
"2020-04-28","CENTRAL",89,65,370
"2020-04-29","CENTRAL",86,64,381
"2020-04-30","CENTRAL",86,61,402
"2020-05-01","CENTRAL",79,59,411
"2020-05-02","CENTRAL",79,55,415
"2020-05-03","CENTRAL",87,65,396
"2020-05-04","CENTRAL",85,66,396
"2020-05-05","CENTRAL",86,67,433
"2020-05-06","CENTRAL",84,67,435
"2020-05-07","CENTRAL",83,60,433
"2020-05-08","CENTRAL",81,64,437
"2020-05-09","CENTRAL",78,63,445
"2020-05-10","CENTRAL",76,53,391
"2020-05-11","CENTRAL",75,58,433
"2020-05-12","CENTRAL",78,60,445
"2020-05-13","CENTRAL",76,56,452
"2020-05-14","CENTRAL",74,55,458
"2020-05-15","CENTRAL",73,56,451
"2020-05-16","CENTRAL",74,59,458
"2020-05-17","CENTRAL",65,57,439
"2020-05-18","CENTRAL",68,56,439
"2020-05-19","CENTRAL",66,53,444
"2020-05-20","CENTRAL",67,51,453
"2020-05-21","CENTRAL",66,52,449
"2020-05-22","CENTRAL",64,52,429
"2020-05-23","CENTRAL",63,52,409
"2020-05-24","CENTRAL",64,49,395
"2020-05-25","CENTRAL",61,50,402
"2020-05-26","CENTRAL",62,50,386
"2020-05-27","CENTRAL",65,54,388
"2020-05-28","CENTRAL",66,42,389
"2020-05-29","CENTRAL",61,52,383
"2020-05-30","CENTRAL",60,39,387
"2020-05-31","CENTRAL",60,47,368
"2020-06-01","CENTRAL",62,48,359
"2020-06-02","CENTRAL",61,47,378
"2020-06-03","CENTRAL",62,49,384
"2020-06-04","CENTRAL",58,45,380
"2020-06-05","CENTRAL",57,45,364
"2020-06-06","CENTRAL",58,48,326
"2020-06-07","CENTRAL",55,45,320
"2020-06-08","CENTRAL",53,41,304
"2020-06-09","CENTRAL",51,41,285
"2020-06-10","CENTRAL",52,39,282
"2020-06-11","CENTRAL",53,40,252
"2020-06-12","CENTRAL",48,34,231
"2020-06-13","CENTRAL",46,21,222
"2020-06-14","CENTRAL",45,30,206
"2020-06-15","CENTRAL",44,23,193
"2020-06-16","CENTRAL",42,27,191
"2020-06-17","CENTRAL",37,24,175
"2020-06-18","CENTRAL",33,19,167
"2020-06-19","CENTRAL",93,69,149
"2020-06-20","CENTRAL",29,22,157
"2020-06-21","CENTRAL",31,22,146
"2020-06-22","CENTRAL",24,17,143
"2020-06-23","CENTRAL",25,18,148
"2020-06-24","CENTRAL",24,18,139
"2020-06-25","CENTRAL",22,19,132
"2020-06-26","CENTRAL",21,17,126
"2020-06-27","CENTRAL",19,15,122
"2020-06-28","CENTRAL",19,14,108
"2020-06-29","CENTRAL",19,14,111
"2020-06-30","CENTRAL",16,14,99
"2020-07-01","CENTRAL",18,13,104
"2020-07-02","CENTRAL",19,12,62
"2020-07-03","CENTRAL",19,12,62
"2020-07-05","CENTRAL",18,9,50
"2020-07-06","CENTRAL",18,9,49
"2020-07-07","CENTRAL",17,11,50
"2020-07-08","CENTRAL",17,13,48
"2020-07-09","CENTRAL",15,11,47
"2020-07-10","CENTRAL",17,11,44
"2020-07-11","CENTRAL",14,9,52
"2020-07-12","CENTRAL",14,10,45
"2020-07-13","CENTRAL",12,10,47
"2020-07-14","CENTRAL",13,11,46
"2020-07-15","CENTRAL",14,12,45
"2020-07-16","CENTRAL",15,11,45
"2020-07-17","CENTRAL",15,11,36
