pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14
1,Canada,Canada,27-02-2020,13,0,0.0,13,,,,,1,8.33,0.03,0.0,0.0,0.0,,,100.0,13.0,0.03,,,,
35,Ontario,Ontario,29-02-2020,8,0,0.0,8,,,,,2,33.33,0.05,0.0,0.0,0.0,,,100.0,8.0,0.05,,,,
59,British Columbia,Colombie-Britannique,29-02-2020,7,0,0.0,7,,,,,0,0.0,0.14,0.0,0.0,0.0,,,100.0,7.0,0.14,,,,
1,Canada,Canada,29-02-2020,15,0,0.0,15,,,,,2,15.38,0.04,0.0,0.0,0.0,,,100.0,15.0,0.04,,,,
35,Ontario,Ontario,01-03-2020,15,0,0.0,15,,,,,7,87.5,0.1,0.0,0.0,0.0,,,100.0,15.0,0.1,,,,
59,British Columbia,Colombie-Britannique,01-03-2020,8,0,0.0,8,,,,,1,14.29,0.16,0.0,0.0,0.0,,,100.0,8.0,0.16,,,,
24,Quebec,Québec,01-03-2020,1,0,0.0,1,,,,,1,100.0,0.01,0.0,0.0,0.0,,,100.0,1.0,0.01,,,,
1,Canada,Canada,01-03-2020,24,0,0.0,24,,,,,9,60.0,0.06,0.0,0.0,0.0,,,100.0,24.0,0.06,,,,
35,Ontario,Ontario,03-03-2020,20,0,0.0,20,,,,,5,33.33,0.14,0.0,0.0,0.0,,,100.0,20.0,0.14,,,,
59,British Columbia,Colombie-Britannique,03-03-2020,12,0,0.0,12,,,,,4,50.0,0.24,0.0,0.0,0.0,,,100.0,12.0,0.24,,,,
24,Quebec,Québec,03-03-2020,1,0,0.0,1,,,,,0,0.0,0.01,0.0,0.0,0.0,,,100.0,1.0,0.01,,,,
1,Canada,Canada,03-03-2020,33,0,0.0,33,,,,,9,37.5,0.09,0.0,0.0,0.0,,,100.0,33.0,0.09,,,,
35,Ontario,Ontario,05-03-2020,22,0,0.0,22,,,,,2,10.0,0.15,0.0,0.0,0.0,,,100.0,22.0,0.15,,,,
59,British Columbia,Colombie-Britannique,05-03-2020,21,0,0.0,21,,,,,9,75.0,0.41,0.0,0.0,0.0,,,100.0,21.0,0.41,,,,
24,Quebec,Québec,05-03-2020,2,0,0.0,2,,,,,1,100.0,0.02,0.0,0.0,0.0,,,100.0,2.0,0.02,,,,
1,Canada,Canada,05-03-2020,45,0,0.0,45,,,,,12,36.36,0.12,0.0,0.0,0.0,,,100.0,45.0,0.12,,,,
35,Ontario,Ontario,06-03-2020,28,0,0.0,28,,,,,6,27.27,0.19,0.0,0.0,0.0,,,100.0,28.0,0.19,,,,
59,British Columbia,Colombie-Britannique,06-03-2020,21,0,0.0,21,,,,,0,0.0,0.41,0.0,0.0,0.0,,,100.0,21.0,0.41,,,,
24,Quebec,Québec,06-03-2020,2,0,0.0,2,,,,,0,0.0,0.02,0.0,0.0,0.0,,,100.0,2.0,0.02,,,,
1,Canada,Canada,06-03-2020,51,0,0.0,51,,,,,6,13.33,0.14,0.0,0.0,0.0,,,100.0,51.0,0.14,,,,
35,Ontario,Ontario,07-03-2020,28,0,0.0,28,,,,,0,0.0,0.19,0.0,0.0,0.0,,,100.0,28.0,0.19,,,,
59,British Columbia,Colombie-Britannique,07-03-2020,27,0,0.0,27,,,,,6,28.57,0.53,0.0,0.0,0.0,,,100.0,27.0,0.53,,,,
24,Quebec,Québec,07-03-2020,2,0,0.0,2,,,,,0,0.0,0.02,0.0,0.0,0.0,,,100.0,2.0,0.02,,,,
1,Canada,Canada,07-03-2020,57,0,0.0,57,,,,,6,11.76,0.15,0.0,0.0,0.0,,,100.0,57.0,0.15,,,,
35,Ontario,Ontario,08-03-2020,31,0,0.0,31,,,,,3,10.71,0.21,0.0,0.0,0.0,,,100.0,31.0,0.21,,,,
59,British Columbia,Colombie-Britannique,08-03-2020,27,0,1.0,27,,,,,0,0.0,0.53,0.02,1.0,3.7,,,96.3,26.0,0.51,,,,
24,Quebec,Québec,08-03-2020,3,0,0.0,3,,,,,1,50.0,0.04,0.0,0.0,0.0,,,100.0,3.0,0.04,,,,
48,Alberta,Alberta,08-03-2020,1,0,0.0,1,,,,,1,100.0,0.02,0.0,0.0,0.0,,,100.0,1.0,0.02,,,,
1,Canada,Canada,08-03-2020,62,0,1.0,62,,,,,5,8.77,0.16,0.0,1.0,1.61,,,98.39,61.0,0.16,,,,
35,Ontario,Ontario,09-03-2020,34,0,0.0,34,,,,,3,9.68,0.23,0.0,0.0,0.0,,,100.0,34.0,0.23,,,,
59,British Columbia,Colombie-Britannique,09-03-2020,32,0,1.0,32,,,,,5,18.52,0.63,0.02,0.0,3.13,,,96.88,31.0,0.61,,,,
24,Quebec,Québec,09-03-2020,4,0,0.0,4,,,,,1,33.33,0.05,0.0,0.0,0.0,,,100.0,4.0,0.05,,,,
48,Alberta,Alberta,09-03-2020,7,0,0.0,7,,,,,6,600.0,0.16,0.0,0.0,0.0,,,100.0,7.0,0.16,,,,
1,Canada,Canada,09-03-2020,77,0,1.0,77,,,,,15,24.19,0.2,0.0,0.0,1.3,,,98.7,76.0,0.2,,,,
59,British Columbia,Colombie-Britannique,11-03-2020,39,0,1.0,39,4373.0,,,862.0,0,0.0,0.77,0.02,0.0,2.56,4373.0,,97.44,38.0,0.75,,,,
48,Alberta,Alberta,11-03-2020,14,0,0.0,14,1969.0,,,450.0,0,0.0,0.32,0.0,0.0,0.0,1969.0,,100.0,14.0,0.32,,,,
47,Saskatchewan,Saskatchewan,11-03-2020,0,0,0.0,0,204.0,,,174.0,0,0.0,0.0,0.0,0.0,,204.0,,,,0.0,,,,
46,Manitoba,Manitoba,11-03-2020,0,0,0.0,0,352.0,,,257.0,0,0.0,0.0,0.0,0.0,,352.0,,,,0.0,,,,
35,Ontario,Ontario,11-03-2020,42,0,1.0,42,3394.0,,,233.0,8,23.53,0.29,0.01,1.0,2.38,3394.0,,97.62,41.0,0.28,,,,
24,Quebec,Québec,11-03-2020,7,0,0.0,7,556.0,,,66.0,3,75.0,0.08,0.0,0.0,0.0,556.0,,100.0,7.0,0.08,,,,
13,New Brunswick,Nouveau-Brunswick,11-03-2020,0,0,0.0,0,22.0,,,28.0,0,0.0,0.0,0.0,0.0,,22.0,,,,0.0,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,11-03-2020,0,0,0.0,0,44.0,,,84.0,0,0.0,0.0,0.0,0.0,,44.0,,,,0.0,,,,
12,Nova Scotia,Nouvelle-Écosse,11-03-2020,0,0,0.0,0,103.0,,,106.0,0,0.0,0.0,0.0,0.0,,103.0,,,,0.0,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,11-03-2020,0,0,0.0,0,6.0,,,38.0,0,0.0,0.0,0.0,0.0,,6.0,,,,0.0,,,,
61,Northwest Territories,Territoires du Nord-Ouest,11-03-2020,0,0,0.0,0,0.0,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,
62,Nunavut,Nunavut,11-03-2020,0,0,0.0,0,0.0,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,
60,Yukon,Yukon,11-03-2020,0,0,0.0,0,0.0,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,
99,Repatriated travellers,Voyageurs rapatriés,11-03-2020,1,0,0.0,1,29.0,,,,1,100.0,,,0.0,0.0,29.0,,100.0,1.0,,,,,
1,Canada,Canada,11-03-2020,103,0,2.0,103,11023.0,,,293.0,26,33.77,0.27,0.01,0.0,1.94,11023.0,,98.06,101.0,0.27,,,,
59,British Columbia,Colombie-Britannique,12-03-2020,46,0,1.0,46,5195.0,,,1024.0,7,17.95,0.91,0.02,0.0,2.17,822.0,,97.83,45.0,0.89,,,,
48,Alberta,Alberta,12-03-2020,19,0,0.0,19,4109.0,,,940.0,5,35.71,0.43,0.0,0.0,0.0,2140.0,,100.0,19.0,0.43,,,,
47,Saskatchewan,Saskatchewan,12-03-2020,0,1,0.0,1,285.0,,,243.0,1,0.0,0.09,0.0,0.0,0.0,81.0,,100.0,1.0,0.09,,,,
46,Manitoba,Manitoba,12-03-2020,0,1,0.0,1,352.0,,,257.0,1,0.0,0.07,0.0,0.0,0.0,0.0,,100.0,1.0,0.07,,,,
35,Ontario,Ontario,12-03-2020,59,0,1.0,59,4185.0,,,287.0,17,40.48,0.41,0.01,0.0,1.69,791.0,,98.31,58.0,0.4,,,,
24,Quebec,Québec,12-03-2020,13,0,0.0,13,740.0,,,87.0,6,85.71,0.15,0.0,0.0,0.0,184.0,,100.0,13.0,0.15,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,12-03-2020,0,0,0.0,0,52.0,,,100.0,0,0.0,0.0,0.0,0.0,,30.0,,,,0.0,,,,
13,New Brunswick,Nouveau-Brunswick,12-03-2020,0,1,0.0,1,44.0,,,57.0,1,0.0,0.13,0.0,0.0,0.0,0.0,,100.0,1.0,0.13,,,,
12,Nova Scotia,Nouvelle-Écosse,12-03-2020,0,0,0.0,0,182.0,,,187.0,0,0.0,0.0,0.0,0.0,,79.0,,,,0.0,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,12-03-2020,0,0,0.0,0,6.0,,,38.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,
60,Yukon,Yukon,12-03-2020,0,0,0.0,0,0.0,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,
61,Northwest Territories,Territoires du Nord-Ouest,12-03-2020,0,0,0.0,0,34.0,,,758.0,0,0.0,0.0,0.0,0.0,,34.0,,,,0.0,,,,
62,Nunavut,Nunavut,12-03-2020,0,0,0.0,0,1.0,,,26.0,0,0.0,0.0,0.0,0.0,,1.0,,,,0.0,,,,
99,Repatriated travellers,Voyageurs rapatriés,12-03-2020,1,0,0.0,1,29.0,,,,0,0.0,,,0.0,0.0,0.0,,100.0,1.0,,,,,
1,Canada,Canada,12-03-2020,138,3,2.0,141,15185.0,,,404.0,38,36.89,0.38,0.01,0.0,1.42,4162.0,,98.58,139.0,0.37,,,,
59,British Columbia,Colombie-Britannique,13-03-2020,53,0,1.0,53,5195.0,,,1024.0,7,15.22,1.05,0.02,0.0,1.89,0.0,,98.11,52.0,1.03,,,,
48,Alberta,Alberta,13-03-2020,23,0,0.0,23,4109.0,,,940.0,4,21.05,0.53,0.0,0.0,0.0,0.0,,100.0,23.0,0.53,,,,
47,Saskatchewan,Saskatchewan,13-03-2020,0,1,0.0,1,285.0,,,243.0,0,0.0,0.09,0.0,0.0,0.0,0.0,,100.0,1.0,0.09,,,,
46,Manitoba,Manitoba,13-03-2020,1,2,0.0,3,352.0,,,257.0,2,200.0,0.22,0.0,0.0,0.0,0.0,,100.0,3.0,0.22,,,,
35,Ontario,Ontario,13-03-2020,79,0,1.0,79,4185.0,,,287.0,20,33.9,0.54,0.01,0.0,1.27,0.0,,98.73,78.0,0.54,,,,
24,Quebec,Québec,13-03-2020,17,0,0.0,17,740.0,,,87.0,4,30.77,0.2,0.0,0.0,0.0,0.0,,100.0,17.0,0.2,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,13-03-2020,0,0,0.0,0,52.0,,,100.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,
13,New Brunswick,Nouveau-Brunswick,13-03-2020,1,0,0.0,1,44.0,,,57.0,0,0.0,0.13,0.0,0.0,0.0,0.0,,100.0,1.0,0.13,,,,
12,Nova Scotia,Nouvelle-Écosse,13-03-2020,0,0,0.0,0,182.0,,,187.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,13-03-2020,0,0,0.0,0,6.0,,,38.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,
60,Yukon,Yukon,13-03-2020,0,0,0.0,0,0.0,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,
61,Northwest Territories,Territoires du Nord-Ouest,13-03-2020,0,0,0.0,0,34.0,,,758.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,
62,Nunavut,Nunavut,13-03-2020,0,0,0.0,0,1.0,,,26.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,
99,Repatriated travellers,Voyageurs rapatriés,13-03-2020,2,0,0.0,2,29.0,,,,1,100.0,,,0.0,0.0,0.0,,100.0,2.0,,,,,
1,Canada,Canada,13-03-2020,176,3,2.0,179,15185.0,,,404.0,38,26.95,0.48,0.01,0.0,1.12,0.0,,98.88,177.0,0.47,,,,
59,British Columbia,Colombie-Britannique,14-03-2020,64,0,1.0,64,7033.0,,,1387.0,11,20.75,1.26,0.02,0.0,1.56,1838.0,,98.44,63.0,1.24,,,,
48,Alberta,Alberta,14-03-2020,29,0,0.0,29,5247.0,,,1200.0,6,26.09,0.66,0.0,0.0,0.0,1138.0,,100.0,29.0,0.66,,,,
47,Saskatchewan,Saskatchewan,14-03-2020,0,2,0.0,2,349.0,,,297.0,1,100.0,0.17,0.0,0.0,0.0,64.0,,100.0,2.0,0.17,,,,
46,Manitoba,Manitoba,14-03-2020,1,3,0.0,4,837.0,,,611.0,1,33.33,0.29,0.0,0.0,0.0,485.0,,100.0,4.0,0.29,,,,
35,Ontario,Ontario,14-03-2020,79,0,1.0,79,6646.0,,,456.0,0,0.0,0.54,0.01,0.0,1.27,2461.0,,98.73,78.0,0.54,,,,
24,Quebec,Québec,14-03-2020,17,0,0.0,17,1584.0,,,187.0,0,0.0,0.2,0.0,0.0,0.0,844.0,,100.0,17.0,0.2,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,14-03-2020,0,0,0.0,0,62.0,,,119.0,0,0.0,0.0,0.0,0.0,,10.0,,,,0.0,,,,
13,New Brunswick,Nouveau-Brunswick,14-03-2020,1,1,0.0,2,82.0,,,106.0,1,100.0,0.26,0.0,0.0,0.0,38.0,,100.0,2.0,0.26,,,,
12,Nova Scotia,Nouvelle-Écosse,14-03-2020,0,0,0.0,0,481.0,,,495.0,0,0.0,0.0,0.0,0.0,,299.0,,,,0.0,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,14-03-2020,0,0,0.0,0,6.0,,,38.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,
60,Yukon,Yukon,14-03-2020,0,0,0.0,0,0.0,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,
61,Northwest Territories,Territoires du Nord-Ouest,14-03-2020,0,0,0.0,0,76.0,,,1695.0,0,0.0,0.0,0.0,0.0,,42.0,,,,0.0,,,,
62,Nunavut,Nunavut,14-03-2020,0,0,0.0,0,6.0,,,155.0,0,0.0,0.0,0.0,0.0,,5.0,,,,0.0,,,,
99,Repatriated travellers,Voyageurs rapatriés,14-03-2020,2,0,0.0,2,29.0,,,,0,0.0,,,0.0,0.0,0.0,,100.0,2.0,,,,,
1,Canada,Canada,14-03-2020,193,6,2.0,199,22409.0,,,596.0,20,11.17,0.53,0.01,0.0,1.01,7224.0,,98.99,197.0,0.52,,,,
59,British Columbia,Colombie-Britannique,15-03-2020,73,0,1.0,73,7033.0,,,1387.0,9,14.06,1.44,0.02,0.0,1.37,0.0,,98.63,72.0,1.42,,,,
48,Alberta,Alberta,15-03-2020,39,0,0.0,39,5247.0,,,1200.0,10,34.48,0.89,0.0,0.0,0.0,0.0,,100.0,39.0,0.89,,,,
47,Saskatchewan,Saskatchewan,15-03-2020,0,2,0.0,2,349.0,,,297.0,0,0.0,0.17,0.0,0.0,0.0,0.0,,100.0,2.0,0.17,,,,
46,Manitoba,Manitoba,15-03-2020,4,0,0.0,4,837.0,,,611.0,0,0.0,0.29,0.0,0.0,0.0,0.0,,100.0,4.0,0.29,,,,
35,Ontario,Ontario,15-03-2020,103,0,1.0,103,8461.0,,,581.0,24,30.38,0.71,0.01,0.0,0.97,1815.0,,99.03,102.0,0.7,,,,
24,Quebec,Québec,15-03-2020,24,0,0.0,24,2337.0,,,275.0,7,41.18,0.28,0.0,0.0,0.0,753.0,,100.0,24.0,0.28,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,15-03-2020,0,1,0.0,1,62.0,,,119.0,1,0.0,0.19,0.0,0.0,0.0,0.0,,100.0,1.0,0.19,,,,
13,New Brunswick,Nouveau-Brunswick,15-03-2020,1,1,0.0,2,82.0,,,106.0,0,0.0,0.26,0.0,0.0,0.0,0.0,,100.0,2.0,0.26,,,,
12,Nova Scotia,Nouvelle-Écosse,15-03-2020,0,0,0.0,0,481.0,,,495.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,15-03-2020,1,0,0.0,1,6.0,,,38.0,1,0.0,0.64,0.0,0.0,0.0,0.0,,100.0,1.0,0.64,,,,
60,Yukon,Yukon,15-03-2020,0,0,0.0,0,0.0,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,
61,Northwest Territories,Territoires du Nord-Ouest,15-03-2020,0,0,0.0,0,76.0,,,1695.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,
62,Nunavut,Nunavut,15-03-2020,0,0,0.0,0,6.0,,,155.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,
99,Repatriated travellers,Voyageurs rapatriés,15-03-2020,4,0,0.0,4,29.0,,,,2,100.0,,,0.0,0.0,0.0,,100.0,4.0,,,,,
1,Canada,Canada,15-03-2020,249,4,2.0,253,24977.0,,,664.0,54,27.14,0.67,0.01,0.0,0.79,2568.0,,99.21,251.0,0.67,,,,
59,British Columbia,Colombie-Britannique,16-03-2020,73,0,4.0,73,9926.0,,,1957.0,0,0.0,1.44,0.08,3.0,5.48,2893.0,,94.52,69.0,1.36,,,,
48,Alberta,Alberta,16-03-2020,56,0,0.0,56,10238.0,,,2342.0,17,43.59,1.28,0.0,0.0,0.0,4991.0,,100.0,56.0,1.28,,,,
47,Saskatchewan,Saskatchewan,16-03-2020,1,5,0.0,6,881.0,,,750.0,4,200.0,0.51,0.0,0.0,0.0,532.0,,100.0,6.0,0.51,,,,
46,Manitoba,Manitoba,16-03-2020,4,3,0.0,7,1848.0,,,1349.0,3,75.0,0.51,0.0,0.0,0.0,1011.0,,100.0,7.0,0.51,,,,
35,Ontario,Ontario,16-03-2020,145,0,1.0,145,10178.0,,,699.0,42,40.78,1.0,0.01,0.0,0.69,1717.0,,99.31,144.0,0.99,,,,
24,Quebec,Québec,16-03-2020,39,0,0.0,39,3129.0,,,369.0,15,62.5,0.46,0.0,0.0,0.0,792.0,,100.0,39.0,0.46,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,16-03-2020,0,1,0.0,1,161.0,,,309.0,0,0.0,0.19,0.0,0.0,0.0,99.0,,100.0,1.0,0.19,,,,
13,New Brunswick,Nouveau-Brunswick,16-03-2020,1,5,0.0,6,143.0,,,184.0,4,200.0,0.77,0.0,0.0,0.0,61.0,,100.0,6.0,0.77,,,,
12,Nova Scotia,Nouvelle-Écosse,16-03-2020,0,3,0.0,3,1075.0,,,1107.0,3,0.0,0.31,0.0,0.0,0.0,594.0,,100.0,3.0,0.31,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,16-03-2020,1,0,0.0,1,6.0,,,38.0,0,0.0,0.64,0.0,0.0,0.0,0.0,,100.0,1.0,0.64,,,,
60,Yukon,Yukon,16-03-2020,0,0,0.0,0,0.0,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,
61,Northwest Territories,Territoires du Nord-Ouest,16-03-2020,0,0,0.0,0,138.0,,,3079.0,0,0.0,0.0,0.0,0.0,,62.0,,,,0.0,,,,
62,Nunavut,Nunavut,16-03-2020,0,0,0.0,0,7.0,,,181.0,0,0.0,0.0,0.0,0.0,,1.0,,,,0.0,,,,
99,Repatriated travellers,Voyageurs rapatriés,16-03-2020,4,0,0.0,4,29.0,,,,0,0.0,,,0.0,0.0,0.0,,100.0,4.0,,,,,
1,Canada,Canada,16-03-2020,324,17,5.0,341,37730.0,,,1004.0,88,34.78,0.91,0.01,3.0,1.47,12753.0,,98.53,336.0,0.89,,,,
59,British Columbia,Colombie-Britannique,17-03-2020,103,0,7.0,103,11612.0,,,2290.0,30,41.1,2.03,0.14,3.0,6.8,1686.0,,93.2,96.0,1.89,,,,
48,Alberta,Alberta,17-03-2020,74,0,0.0,74,11487.0,,,2628.0,18,32.14,1.69,0.0,0.0,0.0,1249.0,,100.0,74.0,1.69,,,,
47,Saskatchewan,Saskatchewan,17-03-2020,2,5,0.0,7,1066.0,,,908.0,1,16.67,0.6,0.0,0.0,0.0,185.0,,100.0,7.0,0.6,,,,
46,Manitoba,Manitoba,17-03-2020,7,0,0.0,7,2216.0,,,1618.0,0,0.0,0.51,0.0,0.0,0.0,368.0,,100.0,7.0,0.51,,,,
35,Ontario,Ontario,17-03-2020,177,0,1.0,177,11167.0,,,767.0,32,22.07,1.22,0.01,0.0,0.56,989.0,,99.44,176.0,1.21,,,,
24,Quebec,Québec,17-03-2020,50,0,0.0,50,4870.0,,,574.0,11,28.21,0.59,0.0,0.0,0.0,1741.0,,100.0,50.0,0.59,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,17-03-2020,0,1,0.0,1,161.0,,,309.0,0,0.0,0.19,0.0,0.0,0.0,0.0,,100.0,1.0,0.19,,,,
13,New Brunswick,Nouveau-Brunswick,17-03-2020,2,5,0.0,7,295.0,,,380.0,1,16.67,0.9,0.0,0.0,0.0,152.0,,100.0,7.0,0.9,,,,
12,Nova Scotia,Nouvelle-Écosse,17-03-2020,0,5,0.0,5,1075.0,,,1107.0,2,66.67,0.51,0.0,0.0,0.0,0.0,,100.0,5.0,0.51,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,17-03-2020,1,0,0.0,1,75.0,,,478.0,0,0.0,0.64,0.0,0.0,0.0,69.0,,100.0,1.0,0.64,,,,
60,Yukon,Yukon,17-03-2020,0,0,0.0,0,0.0,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,
61,Northwest Territories,Territoires du Nord-Ouest,17-03-2020,0,0,0.0,0,145.0,,,3235.0,0,0.0,0.0,0.0,0.0,,7.0,,,,0.0,,,,
62,Nunavut,Nunavut,17-03-2020,0,0,0.0,0,7.0,,,181.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,
99,Repatriated travellers,Voyageurs rapatriés,17-03-2020,8,0,0.0,8,29.0,,,,4,100.0,,,0.0,0.0,0.0,,100.0,8.0,,,,,
1,Canada,Canada,17-03-2020,424,16,8.0,440,44176.0,,,1175.0,99,29.03,1.17,0.02,3.0,1.82,6446.0,,98.18,432.0,1.15,,,,
59,British Columbia,Colombie-Britannique,18-03-2020,186,0,7.0,186,13388.0,,,2640.0,83,80.58,3.67,0.14,0.0,3.76,1776.0,,96.24,179.0,3.53,,,,
48,Alberta,Alberta,18-03-2020,97,0,0.0,97,13686.0,,,3131.0,23,31.08,2.22,0.0,0.0,0.0,2199.0,,100.0,97.0,2.22,,,,
47,Saskatchewan,Saskatchewan,18-03-2020,2,6,0.0,8,1910.0,,,1626.0,1,14.29,0.68,0.0,0.0,0.0,844.0,,100.0,8.0,0.68,,,,
46,Manitoba,Manitoba,18-03-2020,8,7,0.0,15,2739.0,,,2000.0,8,114.29,1.1,0.0,0.0,0.0,523.0,,100.0,15.0,1.1,,,,
35,Ontario,Ontario,18-03-2020,189,0,1.0,189,13869.0,,,952.0,12,6.78,1.3,0.01,0.0,0.53,2702.0,,99.47,188.0,1.29,,,,
24,Quebec,Québec,18-03-2020,74,0,1.0,74,5880.0,,,693.0,24,48.0,0.87,0.01,1.0,1.35,1010.0,,98.65,73.0,0.86,,,,
