Facility Name,Facility Type,Location in Facility,Reported Date,End Date,Resident/ Patient/ Student Cases,Resident/ Patient/ Student Deaths,Staff Cases,Staff Deaths,Total Cases,Total Deaths
ALTA VISTA MANOR,LTCH,Facility-wide,2020-09-04 0:00,,1,0,0,0,1,0
AMICA WESTBORO PARK,RH,Facility-wide,2020-07-05 0:00,2020-07-14 0:00,0,0,1,0,1,0
ANDREW FLECK CHILDREN'S SERVICES - HOME CHILD CARE,Childcare & Summer Camps,  ,2020-08-20 0:00,,2,0,1,0,3,0
ASSOCIATION INTEGRATION SOCIALE D'OTTAWA,Other Healthcare,Facility-wide,2020-04-24 0:00,2020-05-05 0:00,0,0,1,0,1,0
BAIRN CROFT -  MATHIEU WAY,Other Healthcare,Facility-wide,2020-07-08 0:00,2020-07-22 0:00,0,0,1,0,1,0
BARRHAVEN MANOR,RH,Facility-wide,2020-04-17 0:00,2020-05-01 0:00,0,0,1,0,1,0
BEACON LEARNING CENTRE,Childcare & Summer Camps,  ,2020-08-31 0:00,,0,0,1,0,1,0
BILLINGSWOOD MANOR,RH,Facility-wide,2020-08-16 0:00,,6,1,4,0,10,1
BILLINGSWOOD MANOR,RH,Facility-wide,2020-07-21 0:00,2020-08-12 0:00,2,0,0,0,2,0
BRUYERE RESIDENCE,LTCH,Facility-wide,2020-07-29 0:00,2020-08-11 0:00,0,0,1,0,1,0
CARLETON LODGE,LTCH,Facility-wide,2020-07-23 0:00,2020-08-11 0:00,0,0,2,0,2,0
CARLING FAMILY SHELTER,Other Healthcare,Facility-wide,2020-08-01 0:00,2020-08-25 0:00,8,0,0,0,8,0
CARLINGVIEW MANOR,LTCH,Facility-wide,2020-04-07 0:00,2020-06-18 0:00,170,60,89,0,259,60
CARLINGVIEW MANOR,LTCH,Facility-wide,2020-07-16 0:00,2020-07-23 0:00,1,0,0,0,1,0
CENTRE D'ACCUEIL CHAMPLAIN,LTCH,Facility-wide,2020-05-02 0:00,2020-05-13 0:00,0,0,1,0,1,0
CENTREPOINTE HOME-BASED CHILDCARE,Childcare & Summer Camps,  ,2020-08-31 0:00,,4,0,0,0,4,0
CHAPEL HILL RETIREMENT,RH,Facility-wide,2020-05-05 0:00,2020-05-20 0:00,0,0,1,0,1,0
CHAPEL HILL RETIREMENT,RH,Facility-wide,2020-05-27 0:00,2020-06-10 0:00,0,0,1,0,1,0
CHILDRENS VILLAGE,Childcare & Summer Camps,  ,2020-07-30 0:00,2020-08-08 0:00,0,0,2,0,2,0
CHRISTIAN HORIZONS - OTTAWA 6,Other Healthcare,Facility-wide,2020-08-20 0:00,2020-09-03 0:00,0,0,1,0,1,0
CITE PARKWAY,RH,Facility-wide,2020-04-12 0:00,2020-05-01 0:00,0,0,2,0,2,0
DOVERCOURT RECREATION CENTRE,Childcare & Summer Camps,  ,2020-08-28 0:00,,1,0,0,0,1,0
ELISABETH BRUYERE RESIDENCE,LTCH,Facility-wide,2020-04-16 0:00,2020-06-05 0:00,26,16,8,0,34,16
EMBASSY WEST,RH,Facility-wide,2020-05-16 0:00,2020-06-09 0:00,0,0,2,0,2,0
EMPRESS KANATA,RH,Facility-wide,2020-04-27 0:00,2020-06-06 0:00,28,4,18,0,46,4
EXTENDICARE MEDEX,LTCH,Facility-wide,2020-07-09 0:00,2020-07-23 0:00,1,0,1,0,2,0
FOREST HILL,LTCH,Facility-wide,2020-08-29 0:00,,0,0,1,0,1,0
FOSTER FARM COMMUNITY CENTRE - SUMMER CAMP,Childcare & Summer Camps,  ,2020-08-02 0:00,2020-08-14 0:00,0,0,1,0,1,0
GARDEN TERRACE,LTCH,Facility-wide,2020-03-27 0:00,2020-04-22 0:00,1,0,1,0,2,0
GARDEN TERRACE,LTCH,Facility-wide,2020-04-23 0:00,2020-05-27 0:00,0,0,3,0,3,0
GARRY J ARMSTRONG,LTCH,Facility-wide,2020-04-20 0:00,2020-05-08 0:00,0,0,3,0,3,0
GARRY J ARMSTRONG,LTCH,Facility-wide,2020-06-12 0:00,2020-06-26 0:00,0,0,1,0,1,0
GARRY J ARMSTRONG,LTCH,Facility-wide,2020-08-26 0:00,2020-09-04 0:00,0,0,2,0,2,0
GRANDIR ENSEMBLE - LA MAISONNEE,Childcare & Summer Camps,  ,2020-07-28 0:00,2020-08-13 0:00,0,0,4,0,4,0
HILLEL LODGE,LTCH,Facility-wide,2020-09-08 0:00,,0,0,1,0,1,0
HÔPITAL MONTFORT,Hospital,3C,2020-04-05 0:00,2020-04-17 0:00,0,0,1,0,1,0
HÔPITAL MONTFORT,Hospital,ANCILLARY STAFF,2020-04-02 0:00,2020-04-14 0:00,0,0,2,0,2,0
HÔPITAL MONTFORT,Hospital,ICU,2020-04-10 0:00,2020-04-20 0:00,0,0,1,0,1,0
JARDIN ROYAL GARDEN,RH,Facility-wide,2020-07-16 0:00,2020-07-28 0:00,0,0,3,0,3,0
LA CLEMENTINE - MICHEL DUPUIS,Childcare & Summer Camps,  ,2020-07-20 0:00,2020-08-04 0:00,4,0,2,0,6,0
LANDMARK COURT,RH,Facility-wide,2020-08-28 0:00,2020-09-04 0:00,1,0,0,0,1,0
LAURIER MANOR,LTCH,Facility-wide,2020-09-01 0:00,,2,0,1,0,3,0
LAURIER MANOR,LTCH,Facility-wide,2020-04-13 0:00,2020-06-16 0:00,65,25,38,0,103,25
LORD LANSDOWNE,RH,Facility-wide,2020-05-04 0:00,2020-05-18 0:00,1,0,1,0,2,0
MADONNA CARE COMMUNITY,LTCH,Facility-wide,2020-08-30 0:00,,0,0,0,0,0,0
MADONNA CARE COMMUNITY,LTCH,Facility-wide,2020-04-06 0:00,2020-06-08 0:00,97,47,60,2,157,49
MADONNA CARE COMMUNITY,LTCH,Facility-wide,2020-07-16 0:00,2020-07-29 0:00,1,0,0,0,1,0
MAISON ACCUEIL-SAGESSE,RH,Facility-wide,2020-04-17 0:00,2020-05-03 0:00,1,0,1,0,2,0
MANOIR MAROCHEL,LTCH,Facility-wide,2020-04-05 0:00,2020-05-21 0:00,36,10,14,0,50,10
MAPLEWOOD RETIREMENT COMMUNITY,RH,Facility-wide,2020-03-28 0:00,2020-05-01 0:00,11,2,4,0,15,2
METCALFE HOME DAYCARE,Childcare & Summer Camps,  ,2020-07-24 0:00,2020-08-04 0:00,1,0,0,0,1,0
MONTFORT LONG-TERM CARE CENTRE,LTCH,Facility-wide,2020-04-08 0:00,2020-06-08 0:00,87,31,31,0,118,31
MONTFORT LONG-TERM CARE CENTRE,LTCH,Facility-wide,2020-06-13 0:00,2020-06-24 0:00,0,0,1,0,1,0
MOTHERCRAFT OTTAWA HOME CHILD CARE,Childcare & Summer Camps,  ,2020-08-05 0:00,2020-08-19 0:00,1,0,0,0,1,0
NEW EDINBURGH SQUARE CHARTWELL,RH,Facility-wide,2020-08-31 0:00,,2,0,4,0,6,0
OAKPARK RETIREMENT,RH,Facility-wide,2020-08-28 0:00,,1,0,0,0,1,0
OAKPARK RETIREMENT COMMUNITY,RH,Facility-wide,2020-07-25 0:00,2020-08-04 0:00,0,0,1,0,1,0
OTTAWA CARLETON ASSOCIATION FOR PERSONS WITH DEVELOPMENTAL DISABILITIES,Other Healthcare,Facility-wide,2020-03-31 0:00,2020-04-09 0:00,0,0,1,0,1,0
PARK PLACE,RH,Facility-wide,2020-03-20 0:00,2020-04-10 0:00,0,0,1,0,1,0
PARK PLACE,RH,Facility-wide,2020-04-22 0:00,2020-05-02 0:00,0,0,1,0,1,0
PERLEY RIDEAU VETERANS' HEALTH CENTRE,LTCH,Facility-wide,2020-04-15 0:00,2020-05-25 0:00,21,11,32,0,53,11
PERLEY RIDEAU VETERANS' HEALTH CENTRE,LTCH,GATINEAU BUILDING,2020-09-02 0:00,,1,0,1,0,2,0
PERLEY RIDEAU VETERANS' HEALTH CENTRE,LTCH,RIDEAU BUILDING,2020-06-03 0:00,2020-07-14 0:00,3,1,7,0,10,1
PETER D CLARK,LTCH,Facility-wide,2020-04-28 0:00,2020-07-04 0:00,24,8,21,0,45,8
PINECREST QUEENSWAY (HEADSTART) CHILD CARE,Childcare & Summer Camps,  ,2020-07-20 0:00,2020-08-04 0:00,2,0,1,0,3,0
PLACE BESSERER - BRUYERE VILLAGE,Other Healthcare,Facility-wide,2020-05-15 0:00,2020-05-28 0:00,1,0,1,0,2,0
PORTOBELLO MANOR,RH,Facility-wide,2020-08-30 0:00,,0,0,1,0,1,0
PROMENADE RETIREMENT RESIDENCE,RH,Facility-wide,2020-03-26 0:00,2020-05-18 0:00,12,4,4,0,16,4
QUEENSWAY CARLETON HOSPITAL,Hospital,A THREE,2020-05-10 0:00,2020-06-05 0:00,2,2,6,0,8,2
RED OAK RETIREMENT,RH,Facility-wide,2020-05-02 0:00,2020-05-20 0:00,0,0,2,0,2,0
REDWOODS,RH,Facility-wide,2020-07-17 0:00,2020-08-03 0:00,0,0,1,0,1,0
RENÉE TASSÉ DAYCARE,Childcare & Summer Camps,  ,2020-07-24 0:00,2020-08-08 0:00,0,0,3,0,3,0
RESIDENCE ST LOUIS,LTCH,Facility-wide,2020-08-17 0:00,2020-09-03 0:00,0,0,2,0,2,0
ROBERTSON HOUSE,RH,Facility-wide,2020-05-26 0:00,2020-06-18 0:00,4,0,1,0,5,0
ROCKCLIFFE RETIREMENT,RH,Facility-wide,2020-08-25 0:00,,1,0,0,0,1,0
ROCKCLIFFE RETIREMENT,RH,Facility-wide,2020-05-02 0:00,2020-05-26 0:00,1,0,1,0,2,0
SHEPHERDS OF GOOD HOPE,Other Healthcare,Facility-wide,2020-05-14 0:00,2020-06-05 0:00,5,0,0,0,5,0
ST. LOUIS RESIDENCE,LTCH,Facility-wide,2020-04-21 0:00,2020-06-29 0:00,35,9,20,0,55,9
ST. PATRICK'S HOME,LTCH,Facility-wide,2020-04-29 0:00,2020-06-15 0:00,10,3,6,0,16,3
ST. PATRICK'S HOME,LTCH,Facility-wide,2020-07-27 0:00,2020-08-11 0:00,0,0,1,0,1,0
STARWOOD,LTCH,Facility-wide,2020-04-13 0:00,2020-05-11 0:00,0,0,5,0,5,0
STILLWATER CREEK,RH,Facility-wide,2020-05-16 0:00,2020-06-12 0:00,0,0,3,0,3,0
THE GLEBE CENTRE,LTCH,Facility-wide,2020-06-14 0:00,2020-06-29 0:00,0,0,1,0,1,0
TIMBERWALK RETIREMENT COMMUNITY,RH,Facility-wide,2020-08-28 0:00,,0,0,1,0,1,0
TOH - CIVIC CAMPUS,Hospital,A FIVE B FIVE AMA,2020-04-03 0:00,2020-04-14 0:00,0,0,1,0,1,0
TOH - CIVIC CAMPUS,Hospital,A4,2020-04-26 0:00,2020-05-05 0:00,1,0,0,0,1,0
TOH - CIVIC CAMPUS,Hospital,Emergency Department,2020-04-28 0:00,2020-05-11 0:00,0,0,2,0,2,0
TOH - GENERAL CAMPUS,Hospital,5W BMT,2020-04-05 0:00,2020-04-28 0:00,1,1,6,0,7,1
TOH - GENERAL CAMPUS,Hospital,6 NWE,2020-05-22 0:00,2020-06-09 0:00,0,0,3,0,3,0
TOH - GENERAL CAMPUS,Hospital,7 EAST,2020-05-16 0:00,2020-06-01 0:00,0,0,0,0,0,0
TOH - RIVERSIDE CAMPUS,Hospital,DIALYSIS,2020-04-21 0:00,2020-05-07 0:00,5,0,1,0,6,0
UNIVERSITY OF OTTAWA HEART INSTITUTE,Hospital,H5,2020-04-17 0:00,2020-04-28 0:00,1,1,0,0,1,1
VILLA MARCONI,LTCH,Facility-wide,2020-04-09 0:00,2020-04-23 0:00,0,0,3,0,3,0
VILLA MARCONI,LTCH,Facility-wide,2020-08-07 0:00,2020-08-17 0:00,0,0,1,0,1,0
WATERFORD RETIREMENT,RH,Facility-wide,2020-04-11 0:00,2020-04-20 0:00,0,0,1,0,1,0
WATERFORD RETIREMENT,RH,Facility-wide,2020-07-27 0:00,2020-08-08 0:00,0,0,1,0,1,0
WELCOME HOUSE,Other Healthcare,Facility-wide,2020-06-18 0:00,2020-06-28 0:00,0,0,2,0,2,0
WEST END VILLA,LTCH,Facility-wide,2020-08-30 0:00,,27,0,3,0,30,0
WEST END VILLA,LTCH,Facility-wide,2020-05-02 0:00,2020-05-17 0:00,0,0,1,0,1,0
WESTWOOD #2,RH,Facility-wide,2020-04-28 0:00,2020-06-01 0:00,6,1,3,0,9,1
