"date","category_grouped","outbreak_subgroup","TOTAL_CASES"
"2020-03-06","2 Congregate Living","Shelter",1
"2020-03-08","1 Congregate Care","Long-Term Care Home",1
"2020-03-09","4 Workplace","Workplace - Other",1
"2020-03-11","2 Congregate Living","Group Home/Supportive Housing",1
"2020-03-12","1 Congregate Care","Long-Term Care Home",1
"2020-03-13","1 Congregate Care","Long-Term Care Home",1
"2020-03-14","4 Workplace","Workplace - Other",1
"2020-03-15","4 Workplace","Workplace - Other",1
"2020-03-17","1 Congregate Care","Long-Term Care Home",2
"2020-03-18","4 Workplace","Workplace - Other",2
"2020-03-19","1 Congregate Care","Long-Term Care Home",5
"2020-03-19","1 Congregate Care","Retirement Home",1
"2020-03-19","2 Congregate Living","Group Home/Supportive Housing",1
"2020-03-20","1 Congregate Care","Long-Term Care Home",13
"2020-03-21","1 Congregate Care","Long-Term Care Home",9
"2020-03-21","2 Congregate Living","Group Home/Supportive Housing",1
"2020-03-22","1 Congregate Care","Hospital",1
"2020-03-22","1 Congregate Care","Long-Term Care Home",10
"2020-03-22","2 Congregate Living","Group Home/Supportive Housing",1
"2020-03-22","4 Workplace","Workplace - Other",2
"2020-03-23","1 Congregate Care","Hospital",6
"2020-03-23","1 Congregate Care","Long-Term Care Home",11
"2020-03-23","2 Congregate Living","Group Home/Supportive Housing",1
"2020-03-24","1 Congregate Care","Hospital",3
"2020-03-24","1 Congregate Care","Long-Term Care Home",14
"2020-03-24","1 Congregate Care","Retirement Home",1
"2020-03-24","2 Congregate Living","Group Home/Supportive Housing",1
"2020-03-24","4 Workplace","Medical/Health Service",2
"2020-03-24","4 Workplace","Workplace - Other",1
"2020-03-25","1 Congregate Care","Hospital",2
"2020-03-25","1 Congregate Care","Long-Term Care Home",13
"2020-03-25","1 Congregate Care","Retirement Home",1
"2020-03-25","2 Congregate Living","Group Home/Supportive Housing",1
"2020-03-25","4 Workplace","Workplace - Other",1
"2020-03-26","1 Congregate Care","Hospital",4
"2020-03-26","1 Congregate Care","Long-Term Care Home",6
"2020-03-26","1 Congregate Care","Retirement Home",2
"2020-03-26","4 Workplace","Workplace - Other",6
"2020-03-27","1 Congregate Care","Hospital",8
"2020-03-27","1 Congregate Care","Long-Term Care Home",14
"2020-03-27","1 Congregate Care","Retirement Home",4
"2020-03-27","2 Congregate Living","Group Home/Supportive Housing",1
"2020-03-27","4 Workplace","Medical/Health Service",1
"2020-03-27","4 Workplace","Workplace - Other",3
"2020-03-28","1 Congregate Care","Hospital",6
"2020-03-28","1 Congregate Care","Long-Term Care Home",17
"2020-03-28","1 Congregate Care","Retirement Home",6
"2020-03-28","2 Congregate Living","Group Home/Supportive Housing",2
"2020-03-28","4 Workplace","Workplace - Other",2
"2020-03-29","1 Congregate Care","Hospital",11
"2020-03-29","1 Congregate Care","Long-Term Care Home",19
"2020-03-29","1 Congregate Care","Retirement Home",4
"2020-03-29","2 Congregate Living","Congregate other",1
"2020-03-29","2 Congregate Living","Group Home/Supportive Housing",1
"2020-03-29","4 Workplace","Workplace - Other",1
"2020-03-29","6 Other/Unknown","Unknown",1
"2020-03-30","1 Congregate Care","Hospital",14
"2020-03-30","1 Congregate Care","Long-Term Care Home",25
"2020-03-30","1 Congregate Care","Retirement Home",9
"2020-03-30","2 Congregate Living","Group Home/Supportive Housing",1
"2020-03-30","4 Workplace","Workplace - Other",1
"2020-03-31","1 Congregate Care","Hospital",18
"2020-03-31","1 Congregate Care","Long-Term Care Home",34
"2020-03-31","1 Congregate Care","Retirement Home",10
"2020-03-31","2 Congregate Living","Group Home/Supportive Housing",3
"2020-03-31","4 Workplace","Workplace - Farm",1
"2020-04-01","1 Congregate Care","Hospital",13
"2020-04-01","1 Congregate Care","Long-Term Care Home",66
"2020-04-01","1 Congregate Care","Retirement Home",22
"2020-04-01","2 Congregate Living","Group Home/Supportive Housing",3
"2020-04-01","4 Workplace","Workplace - Other",1
"2020-04-02","1 Congregate Care","Hospital",14
"2020-04-02","1 Congregate Care","Long-Term Care Home",65
"2020-04-02","1 Congregate Care","Retirement Home",29
"2020-04-02","2 Congregate Living","Group Home/Supportive Housing",1
