ï»¿Report_Data_Extracted,LTC_Home,City,Beds,Total_LTC_Resident_Deaths
2020-04-24,Allendale,Milton,200.0,0
2020-04-24,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0
2020-04-24,Chelsey Park,London,247.0,0
2020-04-24,Chester Village,Toronto,203.0,0
2020-04-24,Clarion Nursing Home,Stoney Creek,100.0,0
2020-04-24,Douglas H. Rapelje Lodge,Welland,120.0,0
2020-04-24,Ehatare Nursing Home,Scarborough,32.0,0
2020-04-24,Extendicare Southwood Lakes,Windsor,150.0,0
2020-04-24,Extendicare Timmins,Timmins,180.0,0
2020-04-24,Garden City Manor,St. Catharines,200.0,0
2020-04-24,Garden Terrace,Kanata,160.0,0
2020-04-24,Hallowell House,Picton,97.0,0
2020-04-24,Hillside Manor,Stratford,90.0,0
2020-04-24,Lakeview Manor,Beaverton,149.0,0
2020-04-24,Miramichi Lodge,Pembroke,166.0,0
2020-04-24,Mount Hope Centre for Long Term Care,London,394.0,0
2020-04-24,Norview Lodge,Simcoe,179.0,0
2020-04-24,Riverside Place,Windsor,96.0,0
2020-04-24,Riverview Manor Nursing Home,Peterborough,124.0,0
2020-04-24,Rockcliffe Care Community,Scarborough,204.0,0
2020-04-24,Saint Luke's Place,Cambridge,114.0,0
2020-04-24,Shalom Manor Long Term Care Home,Grimsby,144.0,0
2020-04-24,Spencer House,Orillia,160.0,0
2020-04-24,Sprucedale Care Centre,Strathroy,96.0,0
2020-04-24,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0
2020-04-24,Tendercare Living Centre,Scarborough,254.0,<5
2020-04-24,The Village at St. Clair,Windsor,256.0,0
2020-04-24,Wellington Terrace Long-Term Care Home,Fergus,176.0,0
2020-04-24,Wentworth Lodge,Dundas,160.0,0
2020-04-24,Westside,Etobicoke,242.0,<5
2020-04-24,Yee Hong Centre - Markham,Markham,200.0,0
2020-04-25,Allendale,Milton,200.0,0
2020-04-25,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0
2020-04-25,Chelsey Park,London,247.0,0
2020-04-25,Clarion Nursing Home,Stoney Creek,100.0,0
2020-04-25,Douglas H. Rapelje Lodge,Welland,120.0,0
2020-04-25,Ehatare Nursing Home,Scarborough,32.0,0
2020-04-25,Extendicare Southwood Lakes,Windsor,150.0,0
2020-04-25,Extendicare Timmins,Timmins,180.0,0
2020-04-25,Garden City Manor,St. Catharines,200.0,0
2020-04-25,Garden Terrace,Kanata,160.0,0
2020-04-25,Hallowell House,Picton,97.0,0
2020-04-25,Heartwood,Cornwall,118.0,0
2020-04-25,Hillside Manor,Stratford,90.0,0
2020-04-25,Lakeview Manor,Beaverton,149.0,0
2020-04-25,Miramichi Lodge,Pembroke,166.0,0
2020-04-25,Mount Hope Centre for Long Term Care,London,394.0,0
2020-04-25,Norview Lodge,Simcoe,179.0,0
2020-04-25,Riverside Place,Windsor,96.0,0
2020-04-25,Riverview Manor Nursing Home,Peterborough,124.0,0
2020-04-25,Rockcliffe Care Community,Scarborough,204.0,0
2020-04-25,Saint Luke's Place,Cambridge,114.0,0
2020-04-25,Shalom Manor Long Term Care Home,Grimsby,144.0,0
2020-04-25,Spencer House,Orillia,160.0,0
2020-04-25,Sprucedale Care Centre,Strathroy,96.0,0
2020-04-25,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0
2020-04-25,Tendercare Living Centre,Scarborough,254.0,<5
2020-04-25,The Village at St. Clair,Windsor,256.0,0
2020-04-25,Wellington Terrace Long-Term Care Home,Fergus,176.0,0
2020-04-25,Wentworth Lodge,Dundas,160.0,0
2020-04-25,Westside,Etobicoke,242.0,<5
2020-04-25,Yee Hong Centre - Markham,Markham,200.0,0
2020-04-26,Allendale,Milton,200.0,0
2020-04-26,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0
2020-04-26,Chelsey Park,London,247.0,0
2020-04-26,Clarion Nursing Home,Stoney Creek,100.0,0
2020-04-26,Douglas H. Rapelje Lodge,Welland,120.0,0
2020-04-26,Ehatare Nursing Home,Scarborough,32.0,0
